mode,checker_prob,buffer_size,iteration,slot,count,total_us,avg_us
checker,30,1024,0,compute_tag,10406,28746612,2762
checker,30,1024,0,vault_save,10406,55073780,5292
checker,30,1024,0,mc_increment,10406,59338010,5702
checker,30,1024,0,commit_now,10406,144019538,13840
checker,30,1024,0,batch_latency,10406,207778023,19967
checker,30,1024,0,fsync_hook,16386,76082577,4643
checker,30,1024,0,close_hook,1,8542,8542
checker,30,1024,0,exit_hook,1,10557,10557
checker,30,1024,0,gate_hook,0,0,0
checker,30,4096,0,compute_tag,2874,9030731,3142
checker,30,4096,0,vault_save,2874,14306713,4977
checker,30,4096,0,mc_increment,2874,17083506,5944
checker,30,4096,0,commit_now,2874,40652558,14144
checker,30,4096,0,batch_latency,2874,59377706,20660
checker,30,4096,0,fsync_hook,4098,19018262,4640
checker,30,4096,0,close_hook,1,20719,20719
checker,30,4096,0,exit_hook,1,10137,10137
checker,30,4096,0,gate_hook,0,0,0
checker,30,16384,0,compute_tag,730,2301451,3152
checker,30,16384,0,vault_save,730,3582823,4907
checker,30,16384,0,mc_increment,730,4396246,6022
checker,30,16384,0,commit_now,730,10339847,14164
checker,30,16384,0,batch_latency,730,15184854,20801
checker,30,16384,0,fsync_hook,1026,4653712,4535
checker,30,16384,0,close_hook,1,8150,8150
checker,30,16384,0,exit_hook,1,11412,11412
checker,30,16384,0,gate_hook,0,0,0
checker,50,1024,0,compute_tag,12958,25786419,1989
checker,50,1024,0,vault_save,12958,67279627,5192
checker,50,1024,0,mc_increment,12958,62772738,4844
checker,50,1024,0,commit_now,12958,156958163,12112
checker,50,1024,0,batch_latency,12958,205883130,15888
checker,50,1024,0,fsync_hook,16386,111660606,6814
checker,50,1024,0,close_hook,1,8888,8888
checker,50,1024,0,exit_hook,1,9702,9702
checker,50,1024,0,gate_hook,0,0,0
checker,50,4096,0,compute_tag,3386,7165327,2116
checker,50,4096,0,vault_save,3386,16680806,4926
checker,50,4096,0,mc_increment,3386,16361660,4832
checker,50,4096,0,commit_now,3386,40482982,11955
checker,50,4096,0,batch_latency,3386,53629453,15838
checker,50,4096,0,fsync_hook,4098,27306563,6663
checker,50,4096,0,close_hook,1,9181,9181
checker,50,4096,0,exit_hook,1,11754,11754
checker,50,4096,0,gate_hook,0,0,0
checker,50,16384,0,compute_tag,856,1844214,2154
checker,50,16384,0,vault_save,856,4444190,5191
checker,50,16384,0,mc_increment,856,4431008,5176
checker,50,16384,0,commit_now,856,10792449,12608
checker,50,16384,0,batch_latency,856,14375961,16794
checker,50,16384,0,fsync_hook,1026,7119687,6939
checker,50,16384,0,close_hook,1,11772,11772
checker,50,16384,0,exit_hook,1,10729,10729
checker,50,16384,0,gate_hook,0,0,0
checker,70,1024,0,compute_tag,15062,19235325,1277
checker,70,1024,0,vault_save,15062,78755462,5228
checker,70,1024,0,mc_increment,15062,64559145,4286
checker,70,1024,0,commit_now,15062,163886612,10880
checker,70,1024,0,batch_latency,15062,196442891,13042
checker,70,1024,0,fsync_hook,16386,139552158,8516
checker,70,1024,0,close_hook,1,9613,9613
checker,70,1024,0,exit_hook,1,10018,10018
checker,70,1024,0,gate_hook,0,0,0
checker,70,4096,0,compute_tag,3809,4971554,1305
checker,70,4096,0,vault_save,3809,19767981,5189
checker,70,4096,0,mc_increment,3809,16817569,4415
checker,70,4096,0,commit_now,3809,41888943,10997
checker,70,4096,0,batch_latency,3809,50260968,13195
checker,70,4096,0,fsync_hook,4098,34976379,8534
checker,70,4096,0,close_hook,1,8700,8700
checker,70,4096,0,exit_hook,1,14411,14411
checker,70,4096,0,gate_hook,0,0,0
checker,70,16384,0,compute_tag,951,1162468,1222
checker,70,16384,0,vault_save,951,4584143,4820
checker,70,16384,0,mc_increment,951,3895643,4096
checker,70,16384,0,commit_now,951,9720088,10220
checker,70,16384,0,batch_latency,951,11699557,12302
checker,70,16384,0,fsync_hook,1026,7956416,7754
checker,70,16384,0,close_hook,1,8671,8671
checker,70,16384,0,exit_hook,1,9971,9971
checker,70,16384,0,gate_hook,0,0,0
