mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
checker,30,none,0,compute_tag,739,367383,497
checker,30,none,0,vault_save,739,4523956,6121
checker,30,none,0,mc_increment,739,4020482,5440
checker,30,none,0,commit_now,739,8968232,12135
checker,30,none,0,batch_latency,739,11762066,15916
checker,30,none,0,fsync_hook,1003,4553210,4539
checker,30,none,0,close_hook,1,7053,7053
checker,30,none,0,exit_hook,1,20780,20780
checker,30,none,0,gate_hook,2006,24661,12
checker,30,none,1,compute_tag,729,403116,552
checker,30,none,1,vault_save,729,4123001,5655
checker,30,none,1,mc_increment,729,3522860,4832
checker,30,none,1,commit_now,729,8104248,11116
checker,30,none,1,batch_latency,729,10777232,14783
checker,30,none,1,fsync_hook,1003,3965323,3953
checker,30,none,1,close_hook,1,8425,8425
checker,30,none,1,exit_hook,1,11017,11017
checker,30,none,1,gate_hook,2006,24579,12
checker,30,none,2,compute_tag,735,381757,519
checker,30,none,2,vault_save,735,4426172,6022
checker,30,none,2,mc_increment,735,3869451,5264
checker,30,none,2,commit_now,735,8733011,11881
checker,30,none,2,batch_latency,735,11496959,15642
checker,30,none,2,fsync_hook,1003,4442630,4429
checker,30,none,2,close_hook,1,7560,7560
checker,30,none,2,exit_hook,1,20564,20564
checker,30,none,2,gate_hook,2006,24047,11
checker,30,none,3,compute_tag,728,343041,471
checker,30,none,3,vault_save,728,4211312,5784
checker,30,none,3,mc_increment,728,3699708,5082
checker,30,none,3,commit_now,728,8308436,11412
checker,30,none,3,batch_latency,728,10955277,15048
checker,30,none,3,fsync_hook,1003,4175532,4163
checker,30,none,3,close_hook,1,8665,8665
checker,30,none,3,exit_hook,1,20468,20468
checker,30,none,3,gate_hook,2006,23191,11
checker,30,none,4,compute_tag,738,400982,543
checker,30,none,4,vault_save,738,4297448,5823
checker,30,none,4,mc_increment,738,3769463,5107
checker,30,none,4,commit_now,738,8523436,11549
checker,30,none,4,batch_latency,738,11214663,15196
checker,30,none,4,fsync_hook,1003,4286152,4273
checker,30,none,4,close_hook,1,7225,7225
checker,30,none,4,exit_hook,1,26226,26226
checker,30,none,4,gate_hook,2006,22933,11
checker,30,none,5,compute_tag,727,407493,560
checker,30,none,5,vault_save,727,4178635,5747
checker,30,none,5,mc_increment,727,3809160,5239
checker,30,none,5,commit_now,727,8448044,11620
checker,30,none,5,batch_latency,727,11188212,15389
checker,30,none,5,fsync_hook,1003,4144024,4131
checker,30,none,5,close_hook,1,10373,10373
checker,30,none,5,exit_hook,1,21066,21066
checker,30,none,5,gate_hook,2006,23808,11
checker,30,none,6,compute_tag,726,371316,511
checker,30,none,6,vault_save,726,4065615,5600
checker,30,none,6,mc_increment,726,3576584,4926
checker,30,none,6,commit_now,726,8074434,11121
checker,30,none,6,batch_latency,726,10775355,14842
checker,30,none,6,fsync_hook,1003,4062392,4050
checker,30,none,6,close_hook,1,7354,7354
checker,30,none,6,exit_hook,1,18329,18329
checker,30,none,6,gate_hook,2006,27633,13
checker,30,none,7,compute_tag,727,451640,621
checker,30,none,7,vault_save,727,4236311,5827
checker,30,none,7,mc_increment,727,3754494,5164
checker,30,none,7,commit_now,727,8502470,11695
checker,30,none,7,batch_latency,727,11351870,15614
checker,30,none,7,fsync_hook,1003,4080841,4068
checker,30,none,7,close_hook,1,8778,8778
checker,30,none,7,exit_hook,1,11641,11641
checker,30,none,7,gate_hook,2006,25618,12
checker,30,none,8,compute_tag,752,423506,563
checker,30,none,8,vault_save,752,4286129,5699
checker,30,none,8,mc_increment,752,3816549,5075
checker,30,none,8,commit_now,752,8581246,11411
checker,30,none,8,batch_latency,752,11278242,14997
checker,30,none,8,fsync_hook,1003,4463692,4450
checker,30,none,8,close_hook,1,6611,6611
checker,30,none,8,exit_hook,1,19141,19141
checker,30,none,8,gate_hook,2006,22458,11
checker,30,none,9,compute_tag,731,402052,550
checker,30,none,9,vault_save,731,4398971,6017
checker,30,none,9,mc_increment,731,3861275,5282
checker,30,none,9,commit_now,731,8721229,11930
checker,30,none,9,batch_latency,731,11450304,15663
checker,30,none,9,fsync_hook,1003,4358026,4344
checker,30,none,9,close_hook,1,9331,9331
checker,30,none,9,exit_hook,1,19503,19503
checker,30,none,9,gate_hook,2006,25588,12
checker,50,none,0,compute_tag,842,193600,229
checker,50,none,0,vault_save,842,4645338,5517
checker,50,none,0,mc_increment,842,3895883,4626
checker,50,none,0,commit_now,842,8805740,10458
checker,50,none,0,batch_latency,842,10746964,12763
checker,50,none,0,fsync_hook,1003,6007587,5989
checker,50,none,0,close_hook,1,9050,9050
checker,50,none,0,exit_hook,1,34339,34339
checker,50,none,0,gate_hook,2006,24902,12
checker,50,none,1,compute_tag,854,200940,235
checker,50,none,1,vault_save,854,4823235,5647
checker,50,none,1,mc_increment,854,3925884,4597
checker,50,none,1,commit_now,854,9022806,10565
checker,50,none,1,batch_latency,854,10887891,12749
checker,50,none,1,fsync_hook,1003,6219334,6200
checker,50,none,1,close_hook,1,8484,8484
checker,50,none,1,exit_hook,1,10682,10682
checker,50,none,1,gate_hook,2006,24645,12
checker,50,none,2,compute_tag,865,185670,214
checker,50,none,2,vault_save,865,4969340,5744
checker,50,none,2,mc_increment,865,4102143,4742
checker,50,none,2,commit_now,865,9331817,10788
checker,50,none,2,batch_latency,865,11217843,12968
checker,50,none,2,fsync_hook,1003,6557256,6537
checker,50,none,2,close_hook,1,8231,8231
checker,50,none,2,exit_hook,1,10571,10571
checker,50,none,2,gate_hook,2006,25020,12
checker,50,none,3,compute_tag,854,167238,195
checker,50,none,3,vault_save,854,4973367,5823
checker,50,none,3,mc_increment,854,4147773,4856
checker,50,none,3,commit_now,854,9361300,10961
checker,50,none,3,batch_latency,854,11320209,13255
checker,50,none,3,fsync_hook,1003,6492272,6472
checker,50,none,3,close_hook,1,8065,8065
checker,50,none,3,exit_hook,1,10366,10366
checker,50,none,3,gate_hook,2006,24694,12
checker,50,none,4,compute_tag,860,245994,286
checker,50,none,4,vault_save,860,4917722,5718
checker,50,none,4,mc_increment,860,4375162,5087
checker,50,none,4,commit_now,860,9609771,11174
checker,50,none,4,batch_latency,860,11853780,13783
checker,50,none,4,fsync_hook,1003,6445750,6426
checker,50,none,4,close_hook,1,8227,8227
checker,50,none,4,exit_hook,1,22353,22353
checker,50,none,4,gate_hook,2006,24048,11
checker,50,none,5,compute_tag,848,206980,244
checker,50,none,5,vault_save,848,4833424,5699
checker,50,none,5,mc_increment,848,4055630,4782
checker,50,none,5,commit_now,848,9165931,10808
checker,50,none,5,batch_latency,848,11202385,13210
checker,50,none,5,fsync_hook,1003,6197201,6178
checker,50,none,5,close_hook,1,8149,8149
checker,50,none,5,exit_hook,1,10457,10457
checker,50,none,5,gate_hook,2006,24180,12
checker,50,none,6,compute_tag,849,170838,201
checker,50,none,6,vault_save,849,4698613,5534
checker,50,none,6,mc_increment,849,3888743,4580
checker,50,none,6,commit_now,849,8829429,10399
checker,50,none,6,batch_latency,849,10726833,12634
checker,50,none,6,fsync_hook,1003,6028847,6010
checker,50,none,6,close_hook,1,9525,9525
checker,50,none,6,exit_hook,1,21114,21114
checker,50,none,6,gate_hook,2006,25448,12
checker,50,none,7,compute_tag,848,202148,238
checker,50,none,7,vault_save,848,4599297,5423
checker,50,none,7,mc_increment,848,3843799,4532
checker,50,none,7,commit_now,848,8718879,10281
checker,50,none,7,batch_latency,848,10542286,12431
checker,50,none,7,fsync_hook,1003,6112365,6094
checker,50,none,7,close_hook,1,7806,7806
checker,50,none,7,exit_hook,1,20957,20957
checker,50,none,7,gate_hook,2006,24834,12
checker,50,none,8,compute_tag,866,133578,154
checker,50,none,8,vault_save,866,5006617,5781
checker,50,none,8,mc_increment,866,4091116,4724
checker,50,none,8,commit_now,866,9307715,10747
checker,50,none,8,batch_latency,866,11330731,13083
checker,50,none,8,fsync_hook,1003,6430844,6411
checker,50,none,8,close_hook,1,9425,9425
checker,50,none,8,exit_hook,1,12509,12509
checker,50,none,8,gate_hook,2006,25504,12
checker,50,none,9,compute_tag,880,144208,163
checker,50,none,9,vault_save,880,5300504,6023
checker,50,none,9,mc_increment,880,4091559,4649
checker,50,none,9,commit_now,880,9611425,10922
checker,50,none,9,batch_latency,880,11479624,13045
checker,50,none,9,fsync_hook,1003,6833405,6812
checker,50,none,9,close_hook,1,8457,8457
checker,50,none,9,exit_hook,1,12149,12149
checker,50,none,9,gate_hook,2006,24672,12
checker,70,none,0,compute_tag,947,86458,91
checker,70,none,0,vault_save,947,5319387,5617
checker,70,none,0,mc_increment,947,4115109,4345
checker,70,none,0,commit_now,947,9603956,10141
checker,70,none,0,batch_latency,947,10835258,11441
checker,70,none,0,fsync_hook,1003,8004806,7980
checker,70,none,0,close_hook,1,9187,9187
checker,70,none,0,exit_hook,1,11958,11958
checker,70,none,0,gate_hook,2006,24206,12
checker,70,none,1,compute_tag,934,119868,128
checker,70,none,1,vault_save,934,5290067,5663
checker,70,none,1,mc_increment,934,4233777,4532
checker,70,none,1,commit_now,934,9724012,10411
checker,70,none,1,batch_latency,934,11090800,11874
checker,70,none,1,fsync_hook,1003,7916768,7893
checker,70,none,1,close_hook,1,7388,7388
checker,70,none,1,exit_hook,1,23491,23491
checker,70,none,1,gate_hook,2006,23904,11
checker,70,none,2,compute_tag,940,98808,105
checker,70,none,2,vault_save,940,5214969,5547
checker,70,none,2,mc_increment,940,4044241,4302
checker,70,none,2,commit_now,940,9439249,10041
checker,70,none,2,batch_latency,940,10606672,11283
checker,70,none,2,fsync_hook,1003,7892060,7868
checker,70,none,2,close_hook,1,11200,11200
checker,70,none,2,exit_hook,1,10181,10181
checker,70,none,2,gate_hook,2006,23217,11
checker,70,none,3,compute_tag,931,137062,147
checker,70,none,3,vault_save,931,5048264,5422
checker,70,none,3,mc_increment,931,3995689,4291
checker,70,none,3,commit_now,931,9267523,9954
checker,70,none,3,batch_latency,931,10614746,11401
checker,70,none,3,fsync_hook,1003,7567213,7544
checker,70,none,3,close_hook,1,8679,8679
checker,70,none,3,exit_hook,1,19778,19778
checker,70,none,3,gate_hook,2006,25491,12
checker,70,none,4,compute_tag,952,53536,56
checker,70,none,4,vault_save,952,5575737,5856
checker,70,none,4,mc_increment,952,4259755,4474
checker,70,none,4,commit_now,952,9972807,10475
checker,70,none,4,batch_latency,952,11121530,11682
checker,70,none,4,fsync_hook,1003,8344614,8319
checker,70,none,4,close_hook,1,7347,7347
checker,70,none,4,exit_hook,1,19029,19029
checker,70,none,4,gate_hook,2006,24396,12
checker,70,none,5,compute_tag,936,78110,83
checker,70,none,5,vault_save,936,5179749,5533
checker,70,none,5,mc_increment,936,4015972,4290
checker,70,none,5,commit_now,936,9354065,9993
checker,70,none,5,batch_latency,936,10544114,11265
checker,70,none,5,fsync_hook,1003,7696482,7673
checker,70,none,5,close_hook,1,8806,8806
checker,70,none,5,exit_hook,1,12015,12015
checker,70,none,5,gate_hook,2006,23437,11
checker,70,none,6,compute_tag,939,87049,92
checker,70,none,6,vault_save,939,5021359,5347
checker,70,none,6,mc_increment,939,3909925,4163
checker,70,none,6,commit_now,939,9101308,9692
checker,70,none,6,batch_latency,939,10277642,10945
checker,70,none,6,fsync_hook,1003,7543689,7521
checker,70,none,6,close_hook,1,7710,7710
checker,70,none,6,exit_hook,1,21876,21876
checker,70,none,6,gate_hook,2006,25629,12
checker,70,none,7,compute_tag,945,126539,133
checker,70,none,7,vault_save,945,5431224,5747
checker,70,none,7,mc_increment,945,4186262,4429
checker,70,none,7,commit_now,945,9831047,10403
checker,70,none,7,batch_latency,945,11093551,11739
checker,70,none,7,fsync_hook,1003,8129617,8105
checker,70,none,7,close_hook,1,18541,18541
checker,70,none,7,exit_hook,1,9351,9351
checker,70,none,7,gate_hook,2006,24640,12
checker,70,none,8,compute_tag,946,106780,112
checker,70,none,8,vault_save,946,5174411,5469
checker,70,none,8,mc_increment,946,4021255,4250
checker,70,none,8,commit_now,946,9383356,9918
checker,70,none,8,batch_latency,946,10543636,11145
checker,70,none,8,fsync_hook,1003,7840399,7816
checker,70,none,8,close_hook,1,7830,7830
checker,70,none,8,exit_hook,1,10097,10097
checker,70,none,8,gate_hook,2006,24665,12
checker,70,none,9,compute_tag,945,83431,88
checker,70,none,9,vault_save,945,5250328,5555
checker,70,none,9,mc_increment,945,4050590,4286
checker,70,none,9,commit_now,945,9472183,10023
checker,70,none,9,batch_latency,945,10657952,11278
checker,70,none,9,fsync_hook,1003,7974858,7951
checker,70,none,9,close_hook,1,7315,7315
checker,70,none,9,exit_hook,1,10552,10552
checker,70,none,9,gate_hook,2006,25339,12
