mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
synchronous,0,none,0,compute_tag,1003,21421,21
synchronous,0,none,0,vault_save,1003,5726689,5709
synchronous,0,none,0,mc_increment,1003,4007774,3995
synchronous,0,none,0,commit_now,1003,9818551,9789
synchronous,0,none,0,batch_latency,0,0,0
synchronous,0,none,0,fsync_hook,1001,9827604,9817
synchronous,0,none,0,close_hook,1,7469,7469
synchronous,0,none,0,exit_hook,1,10756,10756
synchronous,0,none,0,gate_hook,2006,24702,12
synchronous,0,none,1,compute_tag,1003,21438,21
synchronous,0,none,1,vault_save,1003,5938344,5920
synchronous,0,none,1,mc_increment,1003,4238333,4225
synchronous,0,none,1,commit_now,1003,10262494,10231
synchronous,0,none,1,batch_latency,0,0,0
synchronous,0,none,1,fsync_hook,1001,10248948,10238
synchronous,0,none,1,close_hook,1,30739,30739
synchronous,0,none,1,exit_hook,1,10783,10783
synchronous,0,none,1,gate_hook,2006,26023,12
synchronous,0,none,2,compute_tag,1003,22773,22
synchronous,0,none,2,vault_save,1003,5888429,5870
synchronous,0,none,2,mc_increment,1003,4138466,4126
synchronous,0,none,2,commit_now,1003,10118091,10087
synchronous,0,none,2,batch_latency,0,0,0
synchronous,0,none,2,fsync_hook,1001,10127065,10116
synchronous,0,none,2,close_hook,1,8325,8325
synchronous,0,none,2,exit_hook,1,11483,11483
synchronous,0,none,2,gate_hook,2006,27168,13
synchronous,0,none,3,compute_tag,1003,22758,22
synchronous,0,none,3,vault_save,1003,5567072,5550
synchronous,0,none,3,mc_increment,1003,3932016,3920
synchronous,0,none,3,commit_now,1003,9588615,9559
synchronous,0,none,3,batch_latency,0,0,0
synchronous,0,none,3,fsync_hook,1001,9599438,9589
synchronous,0,none,3,close_hook,1,7844,7844
synchronous,0,none,3,exit_hook,1,10191,10191
synchronous,0,none,3,gate_hook,2006,26870,13
synchronous,0,none,4,compute_tag,1003,22316,22
synchronous,0,none,4,vault_save,1003,5543433,5526
synchronous,0,none,4,mc_increment,1003,3989610,3977
synchronous,0,none,4,commit_now,1003,9622698,9593
synchronous,0,none,4,batch_latency,0,0,0
synchronous,0,none,4,fsync_hook,1001,9631266,9621
synchronous,0,none,4,close_hook,1,9158,9158
synchronous,0,none,4,exit_hook,1,10916,10916
synchronous,0,none,4,gate_hook,2006,27449,13
synchronous,0,none,5,compute_tag,1003,22251,22
synchronous,0,none,5,vault_save,1003,5731317,5714
