# modes=['disabled', 'synchronous', 'optimistic', 'checker'] n_ops=1000 payload=32 iter=10 prob_sweep=[0, 10, 100] gate_policies=['none'] gramine=gramine-sgx
OK mode=disabled prob=0 gate=none iter=0 port=16500 -> 244.86 ops/s in 4085.7 ms
OK mode=disabled prob=0 gate=none iter=1 port=16510 -> 246.37 ops/s in 4061.4 ms
OK mode=disabled prob=0 gate=none iter=2 port=16520 -> 256.34 ops/s in 3903.4 ms
OK mode=disabled prob=0 gate=none iter=3 port=16530 -> 227.84 ops/s in 4391.2 ms
OK mode=disabled prob=0 gate=none iter=4 port=16540 -> 242.72 ops/s in 4122.0 ms
OK mode=disabled prob=0 gate=none iter=5 port=16550 -> 246.91 ops/s in 4051.8 ms
OK mode=disabled prob=0 gate=none iter=6 port=16560 -> 237.70 ops/s in 4209.7 ms
OK mode=disabled prob=0 gate=none iter=7 port=16570 -> 243.66 ops/s in 4105.7 ms
OK mode=disabled prob=0 gate=none iter=8 port=16580 -> 266.95 ops/s in 3748.2 ms
OK mode=disabled prob=0 gate=none iter=9 port=16590 -> 247.52 ops/s in 4042.6 ms
OK mode=synchronous prob=0 gate=none iter=0 port=16500 -> 65.18 ops/s in 15344.6 ms
OK mode=synchronous prob=0 gate=none iter=1 port=16510 -> 62.27 ops/s in 16061.0 ms
OK mode=synchronous prob=0 gate=none iter=2 port=16520 -> 62.07 ops/s in 16112.4 ms
OK mode=synchronous prob=0 gate=none iter=3 port=16530 -> 66.66 ops/s in 15002.2 ms
OK mode=synchronous prob=0 gate=none iter=4 port=16540 -> 65.86 ops/s in 15186.0 ms
OK mode=synchronous prob=0 gate=none iter=5 port=16550 -> 64.79 ops/s in 15436.7 ms
OK mode=synchronous prob=0 gate=none iter=6 port=16560 -> 65.74 ops/s in 15213.1 ms
OK mode=synchronous prob=0 gate=none iter=7 port=16570 -> 67.37 ops/s in 14844.6 ms
OK mode=synchronous prob=0 gate=none iter=8 port=16580 -> 65.53 ops/s in 15262.2 ms
OK mode=synchronous prob=0 gate=none iter=9 port=16590 -> 67.73 ops/s in 14766.0 ms
OK mode=optimistic prob=0 gate=none iter=0 port=16500 -> 147.25 ops/s in 6792.5 ms
OK mode=optimistic prob=0 gate=none iter=1 port=16510 -> 154.85 ops/s in 6459.5 ms
OK mode=optimistic prob=0 gate=none iter=2 port=16520 -> 137.31 ops/s in 7286.0 ms
OK mode=optimistic prob=0 gate=none iter=3 port=16530 -> 142.13 ops/s in 7038.4 ms
OK mode=optimistic prob=0 gate=none iter=4 port=16540 -> 149.99 ops/s in 6669.2 ms
OK mode=optimistic prob=0 gate=none iter=5 port=16550 -> 145.22 ops/s in 6888.4 ms
OK mode=optimistic prob=0 gate=none iter=6 port=16560 -> 146.01 ops/s in 6851.6 ms
OK mode=optimistic prob=0 gate=none iter=7 port=16570 -> 139.30 ops/s in 7180.9 ms
OK mode=optimistic prob=0 gate=none iter=8 port=16580 -> 149.86 ops/s in 6675.6 ms
OK mode=optimistic prob=0 gate=none iter=9 port=16590 -> 136.59 ops/s in 7322.5 ms
OK mode=checker prob=0 gate=none iter=0 port=16500 -> 151.58 ops/s in 6599.2 ms
OK mode=checker prob=0 gate=none iter=1 port=16510 -> 160.08 ops/s in 6249.6 ms
OK mode=checker prob=0 gate=none iter=2 port=16520 -> 137.68 ops/s in 7265.0 ms
OK mode=checker prob=0 gate=none iter=3 port=16530 -> 150.88 ops/s in 6629.9 ms
OK mode=checker prob=0 gate=none iter=4 port=16540 -> 139.92 ops/s in 7149.5 ms
OK mode=checker prob=0 gate=none iter=5 port=16550 -> 147.12 ops/s in 6798.7 ms
OK mode=checker prob=0 gate=none iter=6 port=16560 -> 147.43 ops/s in 6785.2 ms
OK mode=checker prob=0 gate=none iter=7 port=16570 -> 148.26 ops/s in 6746.7 ms
OK mode=checker prob=0 gate=none iter=8 port=16580 -> 156.27 ops/s in 6401.7 ms
OK mode=checker prob=0 gate=none iter=9 port=16590 -> 144.03 ops/s in 6945.5 ms
OK mode=checker prob=10 gate=none iter=0 port=16500 -> 133.28 ops/s in 7505.6 ms
OK mode=checker prob=10 gate=none iter=1 port=16510 -> 121.29 ops/s in 8247.4 ms
OK mode=checker prob=10 gate=none iter=2 port=16520 -> 124.91 ops/s in 8007.3 ms
OK mode=checker prob=10 gate=none iter=3 port=16530 -> 123.00 ops/s in 8131.7 ms
OK mode=checker prob=10 gate=none iter=4 port=16540 -> 129.60 ops/s in 7718.3 ms
OK mode=checker prob=10 gate=none iter=5 port=16550 -> 121.54 ops/s in 8230.9 ms
OK mode=checker prob=10 gate=none iter=6 port=16560 -> 128.98 ops/s in 7754.9 ms
OK mode=checker prob=10 gate=none iter=7 port=16570 -> 124.33 ops/s in 8044.9 ms
OK mode=checker prob=10 gate=none iter=8 port=16580 -> 121.02 ops/s in 8265.2 ms
OK mode=checker prob=10 gate=none iter=9 port=16590 -> 126.28 ops/s in 7921.2 ms
OK mode=checker prob=100 gate=none iter=0 port=16500 -> 67.51 ops/s in 14815.4 ms
OK mode=checker prob=100 gate=none iter=1 port=16510 -> 67.04 ops/s in 14918.1 ms
OK mode=checker prob=100 gate=none iter=2 port=16520 -> 65.73 ops/s in 15215.2 ms
OK mode=checker prob=100 gate=none iter=3 port=16530 -> 66.51 ops/s in 15037.6 ms
OK mode=checker prob=100 gate=none iter=4 port=16540 -> 67.52 ops/s in 14812.8 ms
OK mode=checker prob=100 gate=none iter=5 port=16550 -> 67.39 ops/s in 14841.0 ms
OK mode=checker prob=100 gate=none iter=6 port=16560 -> 67.24 ops/s in 14873.8 ms
OK mode=checker prob=100 gate=none iter=7 port=16570 -> 66.55 ops/s in 15028.8 ms
OK mode=checker prob=100 gate=none iter=8 port=16580 -> 68.25 ops/s in 14654.0 ms
OK mode=checker prob=100 gate=none iter=9 port=16590 -> 69.37 ops/s in 14418.1 ms
wrote 60 rows to /home/azureuser/gramine/docs/benchmarking-intermediate-p/redis_results_rebase.csv
wrote 450 rows to /home/azureuser/gramine/docs/benchmarking-intermediate-p/redis_profile_rebase.csv
