mode,checker_prob,gate_policy,iteration,n_ops,payload_bytes,elapsed_us,ops_per_sec
checker,30,none,0,1000,32,10715188,93.46
checker,30,none,1,1000,32,9656491,103.58
checker,30,none,2,1000,32,10500926,95.25
checker,30,none,3,1000,32,9990404,100.12
checker,30,none,4,1000,32,10191623,98.15
checker,30,none,5,1000,32,10093459,99.09
checker,30,none,6,1000,32,9643826,103.72
checker,30,none,7,1000,32,10091251,99.12
checker,30,none,8,1000,32,10411408,96.06
checker,30,none,9,1000,32,10406870,96.11
checker,50,none,0,1000,32,11300546,88.51
checker,50,none,1,1000,32,11719503,85.35
checker,50,none,2,1000,32,12101372,82.65
checker,50,none,3,1000,32,12085208,82.76
checker,50,none,4,1000,32,12353988,80.96
checker,50,none,5,1000,32,11860458,84.33
checker,50,none,6,1000,32,11492773,87.02
checker,50,none,7,1000,32,11257775,88.84
checker,50,none,8,1000,32,12042510,83.06
checker,50,none,9,1000,32,12492988,80.06
checker,70,none,0,1000,32,13380995,74.74
checker,70,none,1,1000,32,13442958,74.4
checker,70,none,2,1000,32,13141382,76.11
checker,70,none,3,1000,32,12809599,78.08
checker,70,none,4,1000,32,13890030,72.0
checker,70,none,5,1000,32,12931788,77.34
checker,70,none,6,1000,32,12591935,79.43
checker,70,none,7,1000,32,13595422,73.57
checker,70,none,8,1000,32,13098073,76.36
checker,70,none,9,1000,32,13178315,75.9
