mode,checker_prob,gate_policy,iteration,n_ops,payload_bytes,elapsed_us,ops_per_sec
disabled,0,none,0,1000,32,4085719,244.86
disabled,0,none,1,1000,32,4061360,246.37
disabled,0,none,2,1000,32,3903362,256.34
disabled,0,none,3,1000,32,4391152,227.84
disabled,0,none,4,1000,32,4122017,242.72
disabled,0,none,5,1000,32,4051772,246.91
disabled,0,none,6,1000,32,4209672,237.7
disabled,0,none,7,1000,32,4105673,243.66
disabled,0,none,8,1000,32,3748191,266.95
disabled,0,none,9,1000,32,4042620,247.52
synchronous,0,none,0,1000,32,15344578,65.18
synchronous,0,none,1,1000,32,16060985,62.27
synchronous,0,none,2,1000,32,16112448,62.07
synchronous,0,none,3,1000,32,15002243,66.66
synchronous,0,none,4,1000,32,15185964,65.86
synchronous,0,none,5,1000,32,15436700,64.79
synchronous,0,none,6,1000,32,15213107,65.74
synchronous,0,none,7,1000,32,14844571,67.37
synchronous,0,none,8,1000,32,15262186,65.53
synchronous,0,none,9,1000,32,14766028,67.73
optimistic,0,none,0,1000,32,6792501,147.25
optimistic,0,none,1,1000,32,6459501,154.85
optimistic,0,none,2,1000,32,7286030,137.31
optimistic,0,none,3,1000,32,7038431,142.13
optimistic,0,none,4,1000,32,6669161,149.99
optimistic,0,none,5,1000,32,6888391,145.22
optimistic,0,none,6,1000,32,6851621,146.01
optimistic,0,none,7,1000,32,7180894,139.3
optimistic,0,none,8,1000,32,6675616,149.86
optimistic,0,none,9,1000,32,7322473,136.59
checker,0,none,0,1000,32,6599229,151.58
checker,0,none,1,1000,32,6249598,160.08
checker,0,none,2,1000,32,7264959,137.68
checker,0,none,3,1000,32,6629942,150.88
checker,0,none,4,1000,32,7149490,139.92
checker,0,none,5,1000,32,6798683,147.12
checker,0,none,6,1000,32,6785208,147.43
checker,0,none,7,1000,32,6746674,148.26
checker,0,none,8,1000,32,6401693,156.27
checker,0,none,9,1000,32,6945470,144.03
checker,10,none,0,1000,32,7505583,133.28
checker,10,none,1,1000,32,8247356,121.29
checker,10,none,2,1000,32,8007326,124.91
checker,10,none,3,1000,32,8131657,123.0
checker,10,none,4,1000,32,7718336,129.6
checker,10,none,5,1000,32,8230884,121.54
checker,10,none,6,1000,32,7754894,128.98
checker,10,none,7,1000,32,8044879,124.33
checker,10,none,8,1000,32,8265161,121.02
checker,10,none,9,1000,32,7921239,126.28
checker,100,none,0,1000,32,14815442,67.51
checker,100,none,1,1000,32,14918147,67.04
checker,100,none,2,1000,32,15215232,65.73
checker,100,none,3,1000,32,15037580,66.51
checker,100,none,4,1000,32,14812756,67.52
checker,100,none,5,1000,32,14840987,67.39
checker,100,none,6,1000,32,14873775,67.24
checker,100,none,7,1000,32,15028773,66.55
checker,100,none,8,1000,32,14654031,68.25
checker,100,none,9,1000,32,14418078,69.37
