mode,checker_prob,iteration,slot,count,total_us,avg_us
checker,30,0,compute_tag,20,10920,546
checker,30,0,vault_save,20,91997,4599
checker,30,0,mc_increment,20,94908,4745
checker,30,0,commit_now,20,198845,9942
checker,30,0,batch_latency,20,239740,11987
checker,30,0,fsync_hook,21,58573,2789
checker,30,0,close_hook,6,75631,12605
checker,30,0,exit_hook,1,10192,10192
checker,30,0,gate_hook,0,0,0
checker,30,1,compute_tag,21,12928,615
checker,30,1,vault_save,21,104949,4997
checker,30,1,mc_increment,21,101493,4833
checker,30,1,commit_now,21,220892,10518
checker,30,1,batch_latency,21,277177,13198
checker,30,1,fsync_hook,21,53654,2554
checker,30,1,close_hook,6,86804,14467
checker,30,1,exit_hook,1,11694,11694
checker,30,1,gate_hook,0,0,0
checker,30,2,compute_tag,20,11199,559
checker,30,2,vault_save,20,98825,4941
checker,30,2,mc_increment,20,102242,5112
checker,30,2,commit_now,20,213472,10673
checker,30,2,batch_latency,20,259568,12978
checker,30,2,fsync_hook,21,68923,3282
checker,30,2,close_hook,6,72318,12053
checker,30,2,exit_hook,1,11022,11022
checker,30,2,gate_hook,0,0,0
checker,30,3,compute_tag,19,15982,841
checker,30,3,vault_save,19,99746,5249
checker,30,3,mc_increment,19,95833,5043
checker,30,3,commit_now,19,212466,11182
checker,30,3,batch_latency,19,249873,13151
checker,30,3,fsync_hook,21,59788,2847
checker,30,3,close_hook,6,65462,10910
checker,30,3,exit_hook,1,12054,12054
checker,30,3,gate_hook,0,0,0
checker,30,4,compute_tag,18,6796,377
checker,30,4,vault_save,18,95716,5317
checker,30,4,mc_increment,18,97008,5389
checker,30,4,commit_now,18,200642,11146
checker,30,4,batch_latency,18,229706,12761
checker,30,4,fsync_hook,21,68146,3245
checker,30,4,close_hook,6,60522,10087
checker,30,4,exit_hook,1,11917,11917
checker,30,4,gate_hook,0,0,0
checker,30,5,compute_tag,19,19499,1026
checker,30,5,vault_save,19,98723,5195
checker,30,5,mc_increment,19,106146,5586
checker,30,5,commit_now,19,225270,11856
checker,30,5,batch_latency,19,276324,14543
checker,30,5,fsync_hook,21,55821,2658
checker,30,5,close_hook,6,106845,17807
checker,30,5,exit_hook,1,12758,12758
checker,30,5,gate_hook,0,0,0
checker,30,6,compute_tag,17,11370,668
checker,30,6,vault_save,17,85302,5017
checker,30,6,mc_increment,17,85772,5045
checker,30,6,commit_now,17,183545,10796
checker,30,6,batch_latency,17,220145,12949
checker,30,6,fsync_hook,21,72051,3431
checker,30,6,close_hook,6,81461,13576
checker,30,6,exit_hook,1,10115,10115
checker,30,6,gate_hook,0,0,0
checker,30,7,compute_tag,21,5650,269
checker,30,7,vault_save,21,103890,4947
checker,30,7,mc_increment,21,102562,4883
checker,30,7,commit_now,21,213469,10165
checker,30,7,batch_latency,21,252423,12020
checker,30,7,fsync_hook,21,119929,5710
checker,30,7,close_hook,6,80479,13413
checker,30,7,exit_hook,1,11688,11688
checker,30,7,gate_hook,0,0,0
checker,30,8,compute_tag,21,736,35
checker,30,8,vault_save,21,99037,4716
checker,30,8,mc_increment,21,97064,4622
checker,30,8,commit_now,21,198245,9440
checker,30,8,batch_latency,21,224266,10679
checker,30,8,fsync_hook,21,156000,7428
checker,30,8,close_hook,6,78268,13044
checker,30,8,exit_hook,1,10823,10823
checker,30,8,gate_hook,0,0,0
checker,30,9,compute_tag,18,16371,909
checker,30,9,vault_save,18,89804,4989
checker,30,9,mc_increment,18,99044,5502
checker,30,9,commit_now,18,206342,11463
checker,30,9,batch_latency,18,240500,13361
checker,30,9,fsync_hook,21,61535,2930
checker,30,9,close_hook,6,65371,10895
checker,30,9,exit_hook,1,12125,12125
checker,30,9,gate_hook,0,0,0
checker,50,0,compute_tag,20,10968,548
checker,50,0,vault_save,20,112803,5640
checker,50,0,mc_increment,20,112295,5614
checker,50,0,commit_now,20,237208,11860
checker,50,0,batch_latency,20,263332,13166
checker,50,0,fsync_hook,21,155352,7397
checker,50,0,close_hook,6,75507,12584
checker,50,0,exit_hook,1,12136,12136
checker,50,0,gate_hook,0,0,0
checker,50,1,compute_tag,19,5804,305
checker,50,1,vault_save,19,108653,5718
checker,50,1,mc_increment,19,125222,6590
checker,50,1,commit_now,19,240931,12680
checker,50,1,batch_latency,19,286595,15083
checker,50,1,fsync_hook,21,132653,6316
checker,50,1,close_hook,6,88726,14787
checker,50,1,exit_hook,1,11874,11874
checker,50,1,gate_hook,0,0,0
checker,50,2,compute_tag,18,11882,660
checker,50,2,vault_save,18,97615,5423
checker,50,2,mc_increment,18,106269,5903
checker,50,2,commit_now,18,217257,12069
checker,50,2,batch_latency,18,248222,13790
checker,50,2,fsync_hook,21,149167,7103
checker,50,2,close_hook,6,74373,12395
checker,50,2,exit_hook,1,20087,20087
checker,50,2,gate_hook,0,0,0
checker,50,3,compute_tag,21,5502,262
checker,50,3,vault_save,21,114552,5454
checker,50,3,mc_increment,21,116765,5560
checker,50,3,commit_now,21,238384,11351
checker,50,3,batch_latency,21,270129,12863
checker,50,3,fsync_hook,21,188055,8955
checker,50,3,close_hook,6,79243,13207
checker,50,3,exit_hook,1,10559,10559
checker,50,3,gate_hook,0,0,0
checker,50,4,compute_tag,21,7349,349
checker,50,4,vault_save,21,107547,5121
checker,50,4,mc_increment,21,106258,5059
checker,50,4,commit_now,21,222367,10588
checker,50,4,batch_latency,21,270998,12904
checker,50,4,fsync_hook,21,94923,4520
checker,50,4,close_hook,6,98378,16396
checker,50,4,exit_hook,1,11413,11413
checker,50,4,gate_hook,0,0,0
checker,50,5,compute_tag,19,11008,579
checker,50,5,vault_save,19,91127,4796
checker,50,5,mc_increment,19,87414,4600
checker,50,5,commit_now,19,190597,10031
checker,50,5,batch_latency,19,212453,11181
checker,50,5,fsync_hook,21,114073,5432
checker,50,5,close_hook,6,65326,10887
checker,50,5,exit_hook,1,11100,11100
checker,50,5,gate_hook,0,0,0
checker,50,6,compute_tag,19,11818,622
checker,50,6,vault_save,19,99471,5235
checker,50,6,mc_increment,19,106342,5596
checker,50,6,commit_now,19,218691,11510
checker,50,6,batch_latency,19,267080,14056
checker,50,6,fsync_hook,21,77478,3689
checker,50,6,close_hook,6,93370,15561
checker,50,6,exit_hook,1,10014,10014
checker,50,6,gate_hook,0,0,0
checker,50,7,compute_tag,21,7690,366
checker,50,7,vault_save,21,133196,6342
checker,50,7,mc_increment,21,115690,5509
checker,50,7,commit_now,21,258134,12292
checker,50,7,batch_latency,21,302079,14384
checker,50,7,fsync_hook,21,127753,6083
checker,50,7,close_hook,6,108961,18160
checker,50,7,exit_hook,1,16775,16775
checker,50,7,gate_hook,0,0,0
checker,50,8,compute_tag,20,12384,619
checker,50,8,vault_save,20,106885,5344
checker,50,8,mc_increment,20,108575,5428
checker,50,8,commit_now,20,229174,11458
checker,50,8,batch_latency,20,271321,13566
checker,50,8,fsync_hook,21,108980,5189
checker,50,8,close_hook,6,79742,13290
checker,50,8,exit_hook,1,11778,11778
checker,50,8,gate_hook,0,0,0
checker,50,9,compute_tag,20,11114,555
checker,50,9,vault_save,20,118923,5946
checker,50,9,mc_increment,20,106785,5339
checker,50,9,commit_now,20,238446,11922
checker,50,9,batch_latency,20,283307,14165
checker,50,9,fsync_hook,21,122604,5838
checker,50,9,close_hook,6,92716,15452
checker,50,9,exit_hook,1,10603,10603
checker,50,9,gate_hook,0,0,0
checker,70,0,compute_tag,21,508,24
checker,70,0,vault_save,21,119957,5712
checker,70,0,mc_increment,21,96710,4605
checker,70,0,commit_now,21,218479,10403
checker,70,0,batch_latency,21,241613,11505
checker,70,0,fsync_hook,21,176164,8388
checker,70,0,close_hook,6,79405,13234
checker,70,0,exit_hook,1,10628,10628
checker,70,0,gate_hook,0,0,0
checker,70,1,compute_tag,21,2820,134
checker,70,1,vault_save,21,104719,4986
checker,70,1,mc_increment,21,103842,4944
checker,70,1,commit_now,21,212840,10135
checker,70,1,batch_latency,21,238948,11378
checker,70,1,fsync_hook,21,181343,8635
checker,70,1,close_hook,6,79229,13204
checker,70,1,exit_hook,1,11273,11273
checker,70,1,gate_hook,0,0,0
checker,70,2,compute_tag,21,5086,242
checker,70,2,vault_save,21,99483,4737
checker,70,2,mc_increment,21,94498,4499
checker,70,2,commit_now,21,200466,9546
checker,70,2,batch_latency,21,232315,11062
checker,70,2,fsync_hook,21,145255,6916
checker,70,2,close_hook,6,75480,12580
checker,70,2,exit_hook,1,10500,10500
checker,70,2,gate_hook,0,0,0
checker,70,3,compute_tag,20,6106,305
checker,70,3,vault_save,20,96070,4803
checker,70,3,mc_increment,20,102466,5123
checker,70,3,commit_now,20,206464,10323
checker,70,3,batch_latency,20,234996,11749
checker,70,3,fsync_hook,21,115716,5510
checker,70,3,close_hook,6,73692,12282
checker,70,3,exit_hook,1,11413,11413
checker,70,3,gate_hook,0,0,0
checker,70,4,compute_tag,21,6555,312
checker,70,4,vault_save,21,113199,5390
checker,70,4,mc_increment,21,111190,5294
checker,70,4,commit_now,21,232475,11070
checker,70,4,batch_latency,21,248952,11854
checker,70,4,fsync_hook,21,171252,8154
checker,70,4,close_hook,6,69949,11658
checker,70,4,exit_hook,1,17291,17291
checker,70,4,gate_hook,0,0,0
checker,70,5,compute_tag,21,951,45
checker,70,5,vault_save,21,113632,5411
checker,70,5,mc_increment,21,111308,5300
checker,70,5,commit_now,21,227574,10836
checker,70,5,batch_latency,21,254546,12121
checker,70,5,fsync_hook,21,205394,9780
checker,70,5,close_hook,6,79845,13307
checker,70,5,exit_hook,1,11391,11391
checker,70,5,gate_hook,0,0,0
checker,70,6,compute_tag,20,1011,50
checker,70,6,vault_save,20,115863,5793
checker,70,6,mc_increment,20,114695,5734
checker,70,6,commit_now,20,233107,11655
checker,70,6,batch_latency,20,238583,11929
checker,70,6,fsync_hook,21,193261,9202
checker,70,6,close_hook,6,74932,12488
checker,70,6,exit_hook,1,12644,12644
checker,70,6,gate_hook,0,0,0
checker,70,7,compute_tag,21,15682,746
checker,70,7,vault_save,21,117779,5608
checker,70,7,mc_increment,21,125624,5982
checker,70,7,commit_now,21,260699,12414
checker,70,7,batch_latency,21,290160,13817
checker,70,7,fsync_hook,21,227633,10839
checker,70,7,close_hook,6,80023,13337
checker,70,7,exit_hook,1,24728,24728
checker,70,7,gate_hook,0,0,0
checker,70,8,compute_tag,21,2524,120
checker,70,8,vault_save,21,122428,5829
checker,70,8,mc_increment,21,122056,5812
checker,70,8,commit_now,21,248313,11824
checker,70,8,batch_latency,21,270841,12897
checker,70,8,fsync_hook,21,176544,8406
checker,70,8,close_hook,6,91762,15293
checker,70,8,exit_hook,1,17498,17498
checker,70,8,gate_hook,0,0,0
checker,70,9,compute_tag,20,972,48
checker,70,9,vault_save,20,115467,5773
checker,70,9,mc_increment,20,93417,4670
checker,70,9,commit_now,20,211342,10567
checker,70,9,batch_latency,20,224922,11246
checker,70,9,fsync_hook,21,194937,9282
checker,70,9,close_hook,6,71294,11882
checker,70,9,exit_hook,1,12962,12962
checker,70,9,gate_hook,0,0,0
