mode,checker_prob,iteration,n_ops,elapsed_us,ops_per_sec
checker,30,0,200,382638,522.69
checker,30,1,200,556921,359.12
checker,30,2,200,686076,291.51
checker,30,3,200,570165,350.78
checker,30,4,200,499562,400.35
checker,30,5,200,568149,352.02
checker,30,6,200,617085,324.1
checker,30,7,200,557251,358.9
checker,30,8,200,626113,319.43
checker,30,9,200,471397,424.27
checker,50,0,200,770429,259.6
checker,50,1,200,654357,305.64
checker,50,2,200,640469,312.27
checker,50,3,200,449112,445.32
checker,50,4,200,665783,300.4
checker,50,5,200,519936,384.66
checker,50,6,200,618220,323.51
checker,50,7,200,579211,345.3
checker,50,8,200,594319,336.52
checker,50,9,200,478367,418.09
checker,70,0,200,494912,404.11
checker,70,1,200,413973,483.12
checker,70,2,200,616130,324.61
checker,70,3,200,614694,325.37
checker,70,4,200,754290,265.15
checker,70,5,200,625842,319.57
checker,70,6,200,586016,341.29
checker,70,7,200,678297,294.86
checker,70,8,200,618131,323.56
checker,70,9,200,544758,367.14
