mode,checker_prob,iteration,slot,count,total_us,avg_us
checker,30,0,compute_tag,2528,2112341,835
checker,30,0,vault_save,2528,13413118,5305
checker,30,0,mc_increment,2528,12183807,4819
checker,30,0,commit_now,2528,27928489,11047
checker,30,0,batch_latency,2528,36470953,14426
checker,30,0,fsync_hook,3008,13695066,4552
checker,30,0,close_hook,1003,17591529,17538
checker,30,0,exit_hook,1,10322,10322
checker,30,0,gate_hook,0,0,0
checker,30,1,compute_tag,2519,2208934,876
checker,30,1,vault_save,2519,13115940,5206
checker,30,1,mc_increment,2519,11728335,4655
checker,30,1,commit_now,2519,27271456,10826
checker,30,1,batch_latency,2519,35514482,14098
checker,30,1,fsync_hook,3008,13527810,4497
checker,30,1,close_hook,1003,16914716,16864
checker,30,1,exit_hook,1,9899,9899
checker,30,1,gate_hook,0,0,0
checker,30,2,compute_tag,2516,2101034,835
checker,30,2,vault_save,2516,13309222,5289
checker,30,2,mc_increment,2516,11962127,4754
checker,30,2,commit_now,2516,27593228,10967
checker,30,2,batch_latency,2516,36135003,14362
checker,30,2,fsync_hook,3008,13439151,4467
checker,30,2,close_hook,1003,17755826,17702
checker,30,2,exit_hook,1,15895,15895
checker,30,2,gate_hook,0,0,0
checker,30,3,compute_tag,2527,2095783,829
checker,30,3,vault_save,2527,13203656,5225
checker,30,3,mc_increment,2527,11979654,4740
checker,30,3,commit_now,2527,27500733,10882
checker,30,3,batch_latency,2527,36014049,14251
checker,30,3,fsync_hook,3008,13790572,4584
checker,30,3,close_hook,1003,17338479,17286
checker,30,3,exit_hook,1,11076,11076
checker,30,3,gate_hook,0,0,0
checker,30,4,compute_tag,2510,2041714,813
checker,30,4,vault_save,2510,13266847,5285
checker,30,4,mc_increment,2510,11899918,4741
checker,30,4,commit_now,2510,27429508,10928
checker,30,4,batch_latency,2510,35720533,14231
checker,30,4,fsync_hook,3008,13042579,4335
checker,30,4,close_hook,1003,17465084,17412
checker,30,4,exit_hook,1,10521,10521
checker,30,4,gate_hook,0,0,0
checker,30,5,compute_tag,2548,2129023,835
checker,30,5,vault_save,2548,13440281,5274
checker,30,5,mc_increment,2548,12037208,4724
checker,30,5,commit_now,2548,27832301,10923
checker,30,5,batch_latency,2548,36429965,14297
checker,30,5,fsync_hook,3008,13959736,4640
checker,30,5,close_hook,1003,17336176,17284
checker,30,5,exit_hook,1,12654,12654
checker,30,5,gate_hook,0,0,0
