mode,checker_prob,iteration,slot,count,total_us,avg_us
synchronous,0,0,compute_tag,3008,64242,21
synchronous,0,0,vault_save,3008,15621247,5193
synchronous,0,0,mc_increment,3008,13459427,4474
synchronous,0,0,commit_now,3008,29341306,9754
synchronous,0,0,batch_latency,0,0,0
synchronous,0,0,fsync_hook,2004,19384316,9672
synchronous,0,0,close_hook,1003,10028150,9998
synchronous,0,0,exit_hook,1,10587,10587
synchronous,0,0,gate_hook,0,0,0
synchronous,0,1,compute_tag,3008,65862,21
synchronous,0,1,vault_save,3008,15436878,5131
synchronous,0,1,mc_increment,3008,13291091,4418
synchronous,0,1,commit_now,3008,28989612,9637
synchronous,0,1,batch_latency,0,0,0
synchronous,0,1,fsync_hook,2004,19154361,9558
synchronous,0,1,close_hook,1003,9906299,9876
synchronous,0,1,exit_hook,1,10295,10295
synchronous,0,1,gate_hook,0,0,0
synchronous,0,2,compute_tag,3008,64561,21
synchronous,0,2,vault_save,3008,15357761,5105
synchronous,0,2,mc_increment,3008,13249651,4404
synchronous,0,2,commit_now,3008,28867692,9596
synchronous,0,2,batch_latency,0,0,0
synchronous,0,2,fsync_hook,2004,18967889,9465
synchronous,0,2,close_hook,1003,9969602,9939
synchronous,0,2,exit_hook,1,11522,11522
synchronous,0,2,gate_hook,0,0,0
synchronous,0,3,compute_tag,3008,64702,21
synchronous,0,3,vault_save,3008,15303454,5087
synchronous,0,3,mc_increment,3008,13107839,4357
synchronous,0,3,commit_now,3008,28672679,9532
synchronous,0,3,batch_latency,0,0,0
synchronous,0,3,fsync_hook,2004,18901349,9431
synchronous,0,3,close_hook,1003,9843283,9813
synchronous,0,3,exit_hook,1,9978,9978
synchronous,0,3,gate_hook,0,0,0
synchronous,0,4,compute_tag,3008,64565,21
synchronous,0,4,vault_save,3008,15735286,5231
synchronous,0,4,mc_increment,3008,13683063,4548
synchronous,0,4,commit_now,3008,29677032,9866
synchronous,0,4,batch_latency,0,0,0
synchronous,0,4,fsync_hook,2004,19575957,9768
synchronous,0,4,close_hook,1003,10173568,10143
synchronous,0,4,exit_hook,1,9839,9839
synchronous,0,4,gate_hook,0,0,0
synchronous,0,5,compute_tag,3008,64715,21
synchronous,0,5,vault_save,3008,15886004,5281
synchronous,0,5,mc_increment,3008,13687487,4550
synchronous,0,5,commit_now,3008,29833992,9918
synchronous,0,5,batch_latency,0,0,0
synchronous,0,5,fsync_hook,2004,19696909,9828
synchronous,0,5,close_hook,1003,10207597,10177
synchronous,0,5,exit_hook,1,10653,10653
synchronous,0,5,gate_hook,0,0,0
synchronous,0,6,compute_tag,3008,66717,22
synchronous,0,6,vault_save,3008,16439705,5465
synchronous,0,6,mc_increment,3008,13801032,4588
synchronous,0,6,commit_now,3008,30507450,10142
synchronous,0,6,batch_latency,0,0,0
synchronous,0,6,fsync_hook,2004,20213244,10086
synchronous,0,6,close_hook,1003,10366513,10335
synchronous,0,6,exit_hook,1,11234,11234
synchronous,0,6,gate_hook,0,0,0
synchronous,0,7,compute_tag,3008,65208,21
synchronous,0,7,vault_save,3008,17013224,5655
synchronous,0,7,mc_increment,3008,14748065,4902
synchronous,0,7,commit_now,3008,32025039,10646
synchronous,0,7,batch_latency,0,0,0
