# modes=['disabled', 'synchronous', 'optimistic', 'checker'] n_txn=500 iter=10 prob_sweep=[0, 10, 100] gramine=gramine-sgx
OK mode=disabled prob=0 iter=0 -> 70.01 txn/s in 7142.3 ms
OK mode=disabled prob=0 iter=1 -> 74.92 txn/s in 6673.9 ms
OK mode=disabled prob=0 iter=2 -> 74.63 txn/s in 6699.6 ms
OK mode=disabled prob=0 iter=3 -> 76.02 txn/s in 6577.5 ms
OK mode=disabled prob=0 iter=4 -> 75.81 txn/s in 6595.4 ms
OK mode=disabled prob=0 iter=5 -> 80.43 txn/s in 6216.6 ms
OK mode=disabled prob=0 iter=6 -> 76.38 txn/s in 6546.0 ms
OK mode=disabled prob=0 iter=7 -> 76.11 txn/s in 6569.7 ms
OK mode=disabled prob=0 iter=8 -> 76.92 txn/s in 6500.5 ms
OK mode=disabled prob=0 iter=9 -> 73.62 txn/s in 6791.6 ms
OK mode=synchronous prob=0 iter=0 -> 13.13 txn/s in 38084.6 ms
OK mode=synchronous prob=0 iter=1 -> 13.31 txn/s in 37579.5 ms
OK mode=synchronous prob=0 iter=2 -> 13.31 txn/s in 37574.3 ms
OK mode=synchronous prob=0 iter=3 -> 13.43 txn/s in 37234.0 ms
OK mode=synchronous prob=0 iter=4 -> 12.97 txn/s in 38558.0 ms
OK mode=synchronous prob=0 iter=5 -> 12.92 txn/s in 38694.3 ms
OK mode=synchronous prob=0 iter=6 -> 12.64 txn/s in 39569.6 ms
OK mode=synchronous prob=0 iter=7 -> 12.02 txn/s in 41598.6 ms
OK mode=synchronous prob=0 iter=8 -> 12.41 txn/s in 40290.2 ms
OK mode=synchronous prob=0 iter=9 -> 11.79 txn/s in 42417.6 ms
OK mode=optimistic prob=0 iter=0 -> 16.41 txn/s in 30477.0 ms
OK mode=optimistic prob=0 iter=1 -> 12.84 txn/s in 38933.6 ms
OK mode=optimistic prob=0 iter=2 -> 17.09 txn/s in 29263.9 ms
OK mode=optimistic prob=0 iter=3 -> 17.32 txn/s in 28875.2 ms
OK mode=optimistic prob=0 iter=4 -> 17.37 txn/s in 28789.0 ms
OK mode=optimistic prob=0 iter=5 -> 18.02 txn/s in 27751.2 ms
OK mode=optimistic prob=0 iter=6 -> 17.01 txn/s in 29393.8 ms
OK mode=optimistic prob=0 iter=7 -> 17.74 txn/s in 28184.3 ms
OK mode=optimistic prob=0 iter=8 -> 17.22 txn/s in 29036.6 ms
OK mode=optimistic prob=0 iter=9 -> 17.61 txn/s in 28388.2 ms
OK mode=checker prob=0 iter=0 -> 17.36 txn/s in 28796.7 ms
OK mode=checker prob=0 iter=1 -> 17.79 txn/s in 28100.9 ms
OK mode=checker prob=0 iter=2 -> 17.70 txn/s in 28247.8 ms
OK mode=checker prob=0 iter=3 -> 16.88 txn/s in 29624.7 ms
OK mode=checker prob=0 iter=4 -> 15.50 txn/s in 32265.7 ms
OK mode=checker prob=0 iter=5 -> 16.95 txn/s in 29498.7 ms
OK mode=checker prob=0 iter=6 -> 16.99 txn/s in 29424.7 ms
OK mode=checker prob=0 iter=7 -> 17.55 txn/s in 28494.3 ms
OK mode=checker prob=0 iter=8 -> 17.45 txn/s in 28649.0 ms
OK mode=checker prob=0 iter=9 -> 18.02 txn/s in 27752.9 ms
OK mode=checker prob=10 iter=0 -> 16.16 txn/s in 30945.2 ms
OK mode=checker prob=10 iter=1 -> 16.50 txn/s in 30309.3 ms
OK mode=checker prob=10 iter=2 -> 16.44 txn/s in 30406.7 ms
OK mode=checker prob=10 iter=3 -> 16.55 txn/s in 30209.6 ms
OK mode=checker prob=10 iter=4 -> 16.38 txn/s in 30529.5 ms
OK mode=checker prob=10 iter=5 -> 16.23 txn/s in 30799.7 ms
OK mode=checker prob=10 iter=6 -> 16.42 txn/s in 30445.0 ms
OK mode=checker prob=10 iter=7 -> 16.67 txn/s in 29992.8 ms
OK mode=checker prob=10 iter=8 -> 15.80 txn/s in 31643.8 ms
OK mode=checker prob=10 iter=9 -> 15.30 txn/s in 32678.6 ms
OK mode=checker prob=100 iter=0 -> 12.77 txn/s in 39166.9 ms
OK mode=checker prob=100 iter=1 -> 12.55 txn/s in 39849.0 ms
OK mode=checker prob=100 iter=2 -> 12.52 txn/s in 39937.8 ms
OK mode=checker prob=100 iter=3 -> 12.83 txn/s in 38979.0 ms
OK mode=checker prob=100 iter=4 -> 12.73 txn/s in 39275.8 ms
OK mode=checker prob=100 iter=5 -> 12.81 txn/s in 39036.9 ms
OK mode=checker prob=100 iter=6 -> 13.03 txn/s in 38358.8 ms
OK mode=checker prob=100 iter=7 -> 12.80 txn/s in 39069.9 ms
OK mode=checker prob=100 iter=8 -> 12.91 txn/s in 38727.6 ms
OK mode=checker prob=100 iter=9 -> 12.81 txn/s in 39043.8 ms
wrote 60 rows to /home/azureuser/gramine/docs/benchmarking-intermediate-p/sqlite_results_rebase.csv
wrote 450 rows to /home/azureuser/gramine/docs/benchmarking-intermediate-p/sqlite_profile_rebase.csv
