mode,checker_prob,iteration,n_txn,elapsed_us,txn_per_sec
checker,30,0,500,34562840,14.47
checker,30,1,500,33701860,14.84
checker,30,2,500,34144486,14.64
checker,30,3,500,34028732,14.69
checker,30,4,500,34040308,14.69
checker,30,5,500,34419832,14.53
checker,30,6,500,33322245,15.0
checker,30,7,500,34692854,14.41
checker,30,8,500,34078271,14.67
checker,30,9,500,33244977,15.04
checker,50,0,500,36463392,13.71
checker,50,1,500,37310751,13.4
checker,50,2,500,36793171,13.59
checker,50,3,500,36398084,13.74
checker,50,4,500,38765503,12.9
checker,50,5,500,36455505,13.72
checker,50,6,500,36499828,13.7
checker,50,7,500,35874511,13.94
checker,50,8,500,36335544,13.76
checker,50,9,500,35337827,14.15
checker,70,0,500,36636196,13.65
checker,70,1,500,38235143,13.08
checker,70,2,500,38273130,13.06
checker,70,3,500,38725589,12.91
checker,70,4,500,39357373,12.7
checker,70,5,500,38071411,13.13
checker,70,6,500,38506938,12.98
checker,70,7,500,37063207,13.49
checker,70,8,500,37519961,13.33
checker,70,9,500,38566095,12.96
