mode,checker_prob,iteration,n_txn,elapsed_us,txn_per_sec
disabled,0,0,500,7142284,70.01
disabled,0,1,500,6673915,74.92
disabled,0,2,500,6699632,74.63
disabled,0,3,500,6577486,76.02
disabled,0,4,500,6595410,75.81
disabled,0,5,500,6216609,80.43
disabled,0,6,500,6545978,76.38
disabled,0,7,500,6569697,76.11
disabled,0,8,500,6500466,76.92
disabled,0,9,500,6791597,73.62
synchronous,0,0,500,38084574,13.13
synchronous,0,1,500,37579459,13.31
synchronous,0,2,500,37574297,13.31
synchronous,0,3,500,37233956,13.43
synchronous,0,4,500,38558012,12.97
synchronous,0,5,500,38694253,12.92
synchronous,0,6,500,39569611,12.64
synchronous,0,7,500,41598633,12.02
synchronous,0,8,500,40290175,12.41
synchronous,0,9,500,42417636,11.79
optimistic,0,0,500,30477024,16.41
optimistic,0,1,500,38933564,12.84
optimistic,0,2,500,29263916,17.09
optimistic,0,3,500,28875201,17.32
optimistic,0,4,500,28788977,17.37
optimistic,0,5,500,27751152,18.02
optimistic,0,6,500,29393814,17.01
optimistic,0,7,500,28184320,17.74
optimistic,0,8,500,29036556,17.22
optimistic,0,9,500,28388153,17.61
checker,0,0,500,28796717,17.36
checker,0,1,500,28100859,17.79
checker,0,2,500,28247824,17.7
checker,0,3,500,29624745,16.88
checker,0,4,500,32265726,15.5
checker,0,5,500,29498726,16.95
checker,0,6,500,29424678,16.99
checker,0,7,500,28494338,17.55
checker,0,8,500,28649011,17.45
checker,0,9,500,27752891,18.02
checker,10,0,500,30945178,16.16
checker,10,1,500,30309335,16.5
checker,10,2,500,30406707,16.44
checker,10,3,500,30209609,16.55
checker,10,4,500,30529525,16.38
checker,10,5,500,30799747,16.23
checker,10,6,500,30444975,16.42
checker,10,7,500,29992843,16.67
checker,10,8,500,31643760,15.8
checker,10,9,500,32678571,15.3
checker,100,0,500,39166902,12.77
checker,100,1,500,39849001,12.55
checker,100,2,500,39937788,12.52
checker,100,3,500,38979019,12.83
checker,100,4,500,39275757,12.73
checker,100,5,500,39036903,12.81
checker,100,6,500,38358819,13.03
checker,100,7,500,39069882,12.8
checker,100,8,500,38727597,12.91
checker,100,9,500,39043830,12.81
