mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
synchronous,0,none,0,compute_tag,1003,20276,20
synchronous,0,none,0,vault_save,1003,12920295,12881
synchronous,0,none,0,mc_increment,1003,11736526,11701
synchronous,0,none,0,commit_now,1003,24732020,24658
synchronous,0,none,0,batch_latency,0,0,0
synchronous,0,none,0,fsync_hook,1001,24719537,24694
synchronous,0,none,0,close_hook,1,8399,8399
synchronous,0,none,0,exit_hook,1,27499,27499
synchronous,0,none,0,gate_hook,2006,20653,10
synchronous,0,none,1,compute_tag,1003,20389,20
synchronous,0,none,1,vault_save,1003,12968958,12930
synchronous,0,none,1,mc_increment,1003,11655061,11620
synchronous,0,none,1,commit_now,1003,24699921,24626
synchronous,0,none,1,batch_latency,0,0,0
synchronous,0,none,1,fsync_hook,1001,24700105,24675
synchronous,0,none,1,close_hook,1,9993,9993
synchronous,0,none,1,exit_hook,1,13657,13657
synchronous,0,none,1,gate_hook,2006,21140,10
synchronous,0,none,2,compute_tag,1003,20300,20
synchronous,0,none,2,vault_save,1003,12986951,12948
synchronous,0,none,2,mc_increment,1003,11757467,11722
synchronous,0,none,2,commit_now,1003,24821140,24746
synchronous,0,none,2,batch_latency,0,0,0
synchronous,0,none,2,fsync_hook,1001,24823376,24798
synchronous,0,none,2,close_hook,1,8074,8074
synchronous,0,none,2,exit_hook,1,13100,13100
synchronous,0,none,2,gate_hook,2006,21165,10
synchronous,0,none,3,compute_tag,1003,18880,18
synchronous,0,none,3,vault_save,1003,12933909,12895
synchronous,0,none,3,mc_increment,1003,11629909,11595
synchronous,0,none,3,commit_now,1003,24633736,24560
synchronous,0,none,3,batch_latency,0,0,0
synchronous,0,none,3,fsync_hook,1001,24636375,24611
synchronous,0,none,3,close_hook,1,7731,7731
synchronous,0,none,3,exit_hook,1,11372,11372
synchronous,0,none,3,gate_hook,2006,19368,9
synchronous,0,none,4,compute_tag,1003,18374,18
synchronous,0,none,4,vault_save,1003,13078928,13039
synchronous,0,none,4,mc_increment,1003,11668479,11633
synchronous,0,none,4,commit_now,1003,24816135,24741
synchronous,0,none,4,batch_latency,0,0,0
synchronous,0,none,4,fsync_hook,1001,24817790,24792
synchronous,0,none,4,close_hook,1,8110,8110
synchronous,0,none,4,exit_hook,1,11451,11451
synchronous,0,none,4,gate_hook,2006,18529,9
synchronous,0,none,5,compute_tag,1003,18809,18
synchronous,0,none,5,vault_save,1003,12856934,12818
synchronous,0,none,5,mc_increment,1003,11982061,11946
synchronous,0,none,5,commit_now,1003,24909205,24834
synchronous,0,none,5,batch_latency,0,0,0
synchronous,0,none,5,fsync_hook,1001,24909893,24885
synchronous,0,none,5,close_hook,1,8672,8672
synchronous,0,none,5,exit_hook,1,12928,12928
synchronous,0,none,5,gate_hook,2006,19569,9
synchronous,0,none,6,compute_tag,1003,19904,19
synchronous,0,none,6,vault_save,1003,12266626,12229
synchronous,0,none,6,mc_increment,1003,11425362,11391
synchronous,0,none,6,commit_now,1003,23765933,23694
synchronous,0,none,6,batch_latency,0,0,0
synchronous,0,none,6,fsync_hook,1001,23764229,23740
synchronous,0,none,6,close_hook,1,11881,11881
synchronous,0,none,6,exit_hook,1,12342,12342
synchronous,0,none,6,gate_hook,2006,20561,10
synchronous,0,none,7,compute_tag,1003,19142,19
synchronous,0,none,7,vault_save,1003,13094767,13055
synchronous,0,none,7,mc_increment,1003,12040943,12004
synchronous,0,none,7,commit_now,1003,25207607,25132
synchronous,0,none,7,batch_latency,0,0,0
synchronous,0,none,7,fsync_hook,1001,25197396,25172
synchronous,0,none,7,close_hook,1,8729,8729
synchronous,0,none,7,exit_hook,1,23616,23616
synchronous,0,none,7,gate_hook,2006,19721,9
synchronous,0,none,8,compute_tag,1003,20628,20
synchronous,0,none,8,vault_save,1003,12586729,12549
synchronous,0,none,8,mc_increment,1003,12065882,12029
synchronous,0,none,8,commit_now,1003,24730220,24656
synchronous,0,none,8,batch_latency,0,0,0
synchronous,0,none,8,fsync_hook,1001,24732107,24707
synchronous,0,none,8,close_hook,1,11637,11637
synchronous,0,none,8,exit_hook,1,9608,9608
synchronous,0,none,8,gate_hook,2006,21313,10
synchronous,0,none,9,compute_tag,1003,18624,18
synchronous,0,none,9,vault_save,1003,12995708,12956
synchronous,0,none,9,mc_increment,1003,11615237,11580
synchronous,0,none,9,commit_now,1003,24680561,24606
synchronous,0,none,9,batch_latency,0,0,0
synchronous,0,none,9,fsync_hook,1001,24668819,24644
synchronous,0,none,9,close_hook,1,9059,9059
synchronous,0,none,9,exit_hook,1,24175,24175
synchronous,0,none,9,gate_hook,2006,19099,9
optimistic,0,none,0,compute_tag,476,1904610,4001
optimistic,0,none,0,vault_save,476,10873351,22843
optimistic,0,none,0,mc_increment,476,10134242,21290
optimistic,0,none,0,commit_now,476,22937104,48187
optimistic,0,none,0,batch_latency,476,37736968,79279
optimistic,0,none,0,fsync_hook,1003,16438,16
optimistic,0,none,0,close_hook,1,10457,10457
optimistic,0,none,0,exit_hook,1,21518,21518
optimistic,0,none,0,gate_hook,2006,20995,10
optimistic,0,none,1,compute_tag,475,2785375,5863
optimistic,0,none,1,vault_save,475,9644049,20303
optimistic,0,none,1,mc_increment,475,10720032,22568
optimistic,0,none,1,commit_now,475,23170859,48780
optimistic,0,none,1,batch_latency,475,39222572,82573
optimistic,0,none,1,fsync_hook,1003,13594,13
optimistic,0,none,1,close_hook,1,10175,10175
optimistic,0,none,1,exit_hook,1,25682,25682
optimistic,0,none,1,gate_hook,2006,18188,9
optimistic,0,none,2,compute_tag,473,2621366,5542
optimistic,0,none,2,vault_save,473,10167278,21495
optimistic,0,none,2,mc_increment,473,10255619,21682
optimistic,0,none,2,commit_now,473,23067902,48769
optimistic,0,none,2,batch_latency,473,38119642,80591
optimistic,0,none,2,fsync_hook,1003,15792,15
optimistic,0,none,2,close_hook,1,9781,9781
optimistic,0,none,2,exit_hook,1,41197,41197
optimistic,0,none,2,gate_hook,2006,21215,10
optimistic,0,none,3,compute_tag,475,2581986,5435
optimistic,0,none,3,vault_save,475,10013270,21080
optimistic,0,none,3,mc_increment,475,10769731,22673
optimistic,0,none,3,commit_now,475,23390064,49242
optimistic,0,none,3,batch_latency,475,39490648,83138
optimistic,0,none,3,fsync_hook,1003,16469,16
optimistic,0,none,3,close_hook,1,8378,8378
optimistic,0,none,3,exit_hook,1,30505,30505
optimistic,0,none,3,gate_hook,2006,21674,10
optimistic,0,none,4,compute_tag,469,1832538,3907
optimistic,0,none,4,vault_save,469,8356048,17816
optimistic,0,none,4,mc_increment,469,9142083,19492
optimistic,0,none,4,commit_now,469,19354199,41266
optimistic,0,none,4,batch_latency,469,32297385,68864
optimistic,0,none,4,fsync_hook,1003,15135,15
optimistic,0,none,4,close_hook,1,12486,12486
optimistic,0,none,4,exit_hook,1,38889,38889
optimistic,0,none,4,gate_hook,2006,19678,9
optimistic,0,none,5,compute_tag,477,2258894,4735
optimistic,0,none,5,vault_save,477,10259220,21507
optimistic,0,none,5,mc_increment,477,10805202,22652
optimistic,0,none,5,commit_now,477,23346928,48945
optimistic,0,none,5,batch_latency,477,39008112,81778
optimistic,0,none,5,fsync_hook,1003,15191,15
optimistic,0,none,5,close_hook,1,7698,7698
optimistic,0,none,5,exit_hook,1,41969,41969
optimistic,0,none,5,gate_hook,2006,19393,9
optimistic,0,none,6,compute_tag,474,2886000,6088
optimistic,0,none,6,vault_save,474,8868679,18710
optimistic,0,none,6,mc_increment,474,10982484,23169
optimistic,0,none,6,commit_now,474,22759202,48015
optimistic,0,none,6,batch_latency,474,38403510,81020
optimistic,0,none,6,fsync_hook,1003,14565,14
optimistic,0,none,6,close_hook,1,9382,9382
optimistic,0,none,6,exit_hook,1,11916,11916
optimistic,0,none,6,gate_hook,2006,19018,9
optimistic,0,none,7,compute_tag,468,2642294,5645
optimistic,0,none,7,vault_save,468,10219437,21836
optimistic,0,none,7,mc_increment,468,10122408,21629
