mode,checker_prob,gate_policy,iteration,n_ops,payload_bytes,elapsed_us,ops_per_sec
disabled,0,none,0,1000,32,11725807,85.46
disabled,0,none,1,1000,32,11346487,88.15
disabled,0,none,2,1000,32,15499073,64.53
disabled,0,none,3,1000,32,15106035,66.21
disabled,0,none,4,1000,32,13450711,74.36
disabled,0,none,5,1000,32,11343879,88.17
disabled,0,none,6,1000,32,10911595,91.67
disabled,0,none,7,1000,32,12951001,77.23
disabled,0,none,8,1000,32,12398046,80.67
disabled,0,none,9,1000,32,12801120,78.13
synchronous,0,none,0,1000,32,42190917,23.7
synchronous,0,none,1,1000,32,41993961,23.81
synchronous,0,none,2,1000,32,42273303,23.66
synchronous,0,none,3,1000,32,42218641,23.69
synchronous,0,none,4,1000,32,42273390,23.66
synchronous,0,none,5,1000,32,42298307,23.64
synchronous,0,none,6,1000,32,38292675,26.12
synchronous,0,none,7,1000,32,42330230,23.63
synchronous,0,none,8,1000,32,42263757,23.66
synchronous,0,none,9,1000,32,42229028,23.68
optimistic,0,none,0,1000,32,22906938,43.66
optimistic,0,none,1,1000,32,23079371,43.33
optimistic,0,none,2,1000,32,22987287,43.51
optimistic,0,none,3,1000,32,23316321,42.89
optimistic,0,none,4,1000,32,19316836,51.77
optimistic,0,none,5,1000,32,23266859,42.98
optimistic,0,none,6,1000,32,22706996,44.04
optimistic,0,none,7,1000,32,22927344,43.62
optimistic,0,none,8,1000,32,23350963,42.83
optimistic,0,none,9,1000,32,23367990,42.8
checker,0,none,0,1000,32,18969594,52.72
checker,0,none,1,1000,32,22516831,44.41
checker,0,none,2,1000,32,23021324,43.44
checker,0,none,3,1000,32,22844029,43.78
checker,0,none,4,1000,32,19551210,51.15
checker,0,none,5,1000,32,23395193,42.75
checker,0,none,6,1000,32,22526959,44.4
checker,0,none,7,1000,32,22655364,44.14
checker,0,none,8,1000,32,18912019,52.88
checker,0,none,9,1000,32,19118187,52.31
checker,10,none,0,1000,32,25451151,39.29
checker,10,none,1,1000,32,26268677,38.07
checker,10,none,2,1000,32,26222353,38.14
checker,10,none,3,1000,32,25900446,38.61
checker,10,none,4,1000,32,24927362,40.12
checker,10,none,5,1000,32,25944785,38.55
checker,10,none,6,1000,32,22253167,44.94
checker,10,none,7,1000,32,25919600,38.58
checker,10,none,8,1000,32,24510711,40.8
checker,10,none,9,1000,32,26051031,38.39
checker,100,none,0,1000,32,42430131,23.57
checker,100,none,1,1000,32,41351593,24.18
checker,100,none,2,1000,32,42260565,23.66
checker,100,none,3,1000,32,42176925,23.71
checker,100,none,4,1000,32,41512331,24.09
checker,100,none,5,1000,32,42177666,23.71
checker,100,none,6,1000,32,38317838,26.1
checker,100,none,7,1000,32,42129498,23.74
checker,100,none,8,1000,32,40531874,24.67
checker,100,none,9,1000,32,42161902,23.72
