# modes=['disabled', 'synchronous', 'optimistic', 'checker'] n_ops=1000 payload=32 iter=10 prob_sweep=[0, 10, 100] gate_policies=['none'] gramine=gramine-sgx
OK mode=disabled prob=0 gate=none iter=0 port=16500 -> 85.46 ops/s in 11725.8 ms
OK mode=disabled prob=0 gate=none iter=1 port=16510 -> 88.15 ops/s in 11346.5 ms
OK mode=disabled prob=0 gate=none iter=2 port=16520 -> 64.53 ops/s in 15499.1 ms
OK mode=disabled prob=0 gate=none iter=3 port=16530 -> 66.21 ops/s in 15106.0 ms
OK mode=disabled prob=0 gate=none iter=4 port=16540 -> 74.36 ops/s in 13450.7 ms
OK mode=disabled prob=0 gate=none iter=5 port=16550 -> 88.17 ops/s in 11343.9 ms
OK mode=disabled prob=0 gate=none iter=6 port=16560 -> 91.67 ops/s in 10911.6 ms
OK mode=disabled prob=0 gate=none iter=7 port=16570 -> 77.23 ops/s in 12951.0 ms
OK mode=disabled prob=0 gate=none iter=8 port=16580 -> 80.67 ops/s in 12398.0 ms
OK mode=disabled prob=0 gate=none iter=9 port=16590 -> 78.13 ops/s in 12801.1 ms
OK mode=synchronous prob=0 gate=none iter=0 port=16500 -> 23.70 ops/s in 42190.9 ms
OK mode=synchronous prob=0 gate=none iter=1 port=16510 -> 23.81 ops/s in 41994.0 ms
OK mode=synchronous prob=0 gate=none iter=2 port=16520 -> 23.66 ops/s in 42273.3 ms
OK mode=synchronous prob=0 gate=none iter=3 port=16530 -> 23.69 ops/s in 42218.6 ms
OK mode=synchronous prob=0 gate=none iter=4 port=16540 -> 23.66 ops/s in 42273.4 ms
OK mode=synchronous prob=0 gate=none iter=5 port=16550 -> 23.64 ops/s in 42298.3 ms
OK mode=synchronous prob=0 gate=none iter=6 port=16560 -> 26.12 ops/s in 38292.7 ms
OK mode=synchronous prob=0 gate=none iter=7 port=16570 -> 23.63 ops/s in 42330.2 ms
OK mode=synchronous prob=0 gate=none iter=8 port=16580 -> 23.66 ops/s in 42263.8 ms
OK mode=synchronous prob=0 gate=none iter=9 port=16590 -> 23.68 ops/s in 42229.0 ms
OK mode=optimistic prob=0 gate=none iter=0 port=16500 -> 43.66 ops/s in 22906.9 ms
OK mode=optimistic prob=0 gate=none iter=1 port=16510 -> 43.33 ops/s in 23079.4 ms
OK mode=optimistic prob=0 gate=none iter=2 port=16520 -> 43.51 ops/s in 22987.3 ms
OK mode=optimistic prob=0 gate=none iter=3 port=16530 -> 42.89 ops/s in 23316.3 ms
OK mode=optimistic prob=0 gate=none iter=4 port=16540 -> 51.77 ops/s in 19316.8 ms
OK mode=optimistic prob=0 gate=none iter=5 port=16550 -> 42.98 ops/s in 23266.9 ms
