mode,checker_prob,iteration,slot,count,total_us,avg_us
synchronous,0,0,compute_tag,21,396,18
synchronous,0,0,vault_save,21,109658,5221
synchronous,0,0,mc_increment,21,108144,5149
synchronous,0,0,commit_now,21,218839,10420
synchronous,0,0,batch_latency,0,0,0
synchronous,0,0,fsync_hook,14,143361,10240
synchronous,0,0,close_hook,6,66239,11039
synchronous,0,0,exit_hook,1,11204,11204
synchronous,0,0,gate_hook,0,0,0
synchronous,0,1,compute_tag,21,447,21
synchronous,0,1,vault_save,21,157577,7503
synchronous,0,1,mc_increment,21,116493,5547
synchronous,0,1,commit_now,21,275213,13105
synchronous,0,1,batch_latency,0,0,0
synchronous,0,1,fsync_hook,14,202059,14432
synchronous,0,1,close_hook,6,64749,10791
synchronous,0,1,exit_hook,1,10173,10173
synchronous,0,1,gate_hook,0,0,0
synchronous,0,2,compute_tag,21,401,19
synchronous,0,2,vault_save,21,121712,5795
synchronous,0,2,mc_increment,21,116698,5557
synchronous,0,2,commit_now,21,239452,11402
synchronous,0,2,batch_latency,0,0,0
synchronous,0,2,fsync_hook,14,161631,11545
synchronous,0,2,close_hook,6,69205,11534
synchronous,0,2,exit_hook,1,10540,10540
synchronous,0,2,gate_hook,0,0,0
synchronous,0,3,compute_tag,21,771,36
synchronous,0,3,vault_save,21,118395,5637
synchronous,0,3,mc_increment,21,103766,4941
synchronous,0,3,commit_now,21,223785,10656
synchronous,0,3,batch_latency,0,0,0
synchronous,0,3,fsync_hook,14,148288,10592
synchronous,0,3,close_hook,6,63244,10540
synchronous,0,3,exit_hook,1,13285,13285
synchronous,0,3,gate_hook,0,0,0
synchronous,0,4,compute_tag,21,473,22
synchronous,0,4,vault_save,21,94551,4502
synchronous,0,4,mc_increment,21,93660,4460
synchronous,0,4,commit_now,21,189620,9029
synchronous,0,4,batch_latency,0,0,0
synchronous,0,4,fsync_hook,14,124646,8903
synchronous,0,4,close_hook,6,56373,9395
synchronous,0,4,exit_hook,1,10740,10740
synchronous,0,4,gate_hook,0,0,0
synchronous,0,5,compute_tag,21,382,18
synchronous,0,5,vault_save,21,117443,5592
synchronous,0,5,mc_increment,21,105285,5013
synchronous,0,5,commit_now,21,223770,10655
synchronous,0,5,batch_latency,0,0,0
synchronous,0,5,fsync_hook,14,151534,10823
synchronous,0,5,close_hook,6,62503,10417
synchronous,0,5,exit_hook,1,11383,11383
synchronous,0,5,gate_hook,0,0,0
synchronous,0,6,compute_tag,21,430,20
synchronous,0,6,vault_save,21,101284,4823
synchronous,0,6,mc_increment,21,102436,4877
synchronous,0,6,commit_now,21,205077,9765
synchronous,0,6,batch_latency,0,0,0
synchronous,0,6,fsync_hook,14,137867,9847
synchronous,0,6,close_hook,6,54803,9133
synchronous,0,6,exit_hook,1,13093,13093
synchronous,0,6,gate_hook,0,0,0
synchronous,0,7,compute_tag,21,432,20
synchronous,0,7,vault_save,21,112436,5354
synchronous,0,7,mc_increment,21,100392,4780
synchronous,0,7,commit_now,21,214060,10193
synchronous,0,7,batch_latency,0,0,0
synchronous,0,7,fsync_hook,14,137963,9854
synchronous,0,7,close_hook,6,67187,11197
synchronous,0,7,exit_hook,1,10959,10959
synchronous,0,7,gate_hook,0,0,0
synchronous,0,8,compute_tag,21,423,20
synchronous,0,8,vault_save,21,95995,4571
synchronous,0,8,mc_increment,21,100111,4767
synchronous,0,8,commit_now,21,197174,9389
synchronous,0,8,batch_latency,0,0,0
synchronous,0,8,fsync_hook,14,132890,9492
synchronous,0,8,close_hook,6,54499,9083
synchronous,0,8,exit_hook,1,10466,10466
synchronous,0,8,gate_hook,0,0,0
synchronous,0,9,compute_tag,21,447,21
synchronous,0,9,vault_save,21,117613,5600
synchronous,0,9,mc_increment,21,107870,5136
synchronous,0,9,commit_now,21,226725,10796
synchronous,0,9,batch_latency,0,0,0
synchronous,0,9,fsync_hook,14,156477,11176
synchronous,0,9,close_hook,6,61280,10213
synchronous,0,9,exit_hook,1,9659,9659
synchronous,0,9,gate_hook,0,0,0
optimistic,0,0,compute_tag,18,6351,352
optimistic,0,0,vault_save,18,86607,4811
optimistic,0,0,mc_increment,18,93624,5201
optimistic,0,0,commit_now,18,187281,10404
optimistic,0,0,batch_latency,18,237174,13176
optimistic,0,0,fsync_hook,21,383,18
optimistic,0,0,close_hook,6,99491,16581
optimistic,0,0,exit_hook,1,7982,7982
optimistic,0,0,gate_hook,0,0,0
optimistic,0,1,compute_tag,18,11157,619
optimistic,0,1,vault_save,18,92163,5120
optimistic,0,1,mc_increment,18,86357,4797
optimistic,0,1,commit_now,18,190455,10580
optimistic,0,1,batch_latency,18,248489,13804
optimistic,0,1,fsync_hook,21,552,26
optimistic,0,1,close_hook,6,99541,16590
optimistic,0,1,exit_hook,1,12160,12160
optimistic,0,1,gate_hook,0,0,0
optimistic,0,2,compute_tag,18,5091,282
optimistic,0,2,vault_save,18,80508,4472
optimistic,0,2,mc_increment,18,80634,4479
optimistic,0,2,commit_now,18,167118,9284
optimistic,0,2,batch_latency,18,215014,11945
optimistic,0,2,fsync_hook,21,475,22
optimistic,0,2,close_hook,6,85169,14194
optimistic,0,2,exit_hook,1,11612,11612
optimistic,0,2,gate_hook,0,0,0
optimistic,0,3,compute_tag,18,11016,612
optimistic,0,3,vault_save,18,111982,6221
optimistic,0,3,mc_increment,18,99345,5519
optimistic,0,3,commit_now,18,223142,12396
optimistic,0,3,batch_latency,18,290131,16118
optimistic,0,3,fsync_hook,21,350,16
optimistic,0,3,close_hook,6,114734,19122
optimistic,0,3,exit_hook,1,10976,10976
optimistic,0,3,gate_hook,0,0,0
optimistic,0,4,compute_tag,18,7513,417
optimistic,0,4,vault_save,18,114447,6358
optimistic,0,4,mc_increment,18,91537,5085
optimistic,0,4,commit_now,18,214277,11904
optimistic,0,4,batch_latency,18,277565,15420
optimistic,0,4,fsync_hook,21,371,17
optimistic,0,4,close_hook,6,115881,19313
optimistic,0,4,exit_hook,1,12438,12438
optimistic,0,4,gate_hook,0,0,0
optimistic,0,5,compute_tag,18,13412,745
optimistic,0,5,vault_save,18,94609,5256
optimistic,0,5,mc_increment,18,86131,4785
optimistic,0,5,commit_now,18,194982,10832
optimistic,0,5,batch_latency,18,248718,13817
optimistic,0,5,fsync_hook,21,404,19
optimistic,0,5,close_hook,6,93730,15621
optimistic,0,5,exit_hook,1,13825,13825
optimistic,0,5,gate_hook,0,0,0
optimistic,0,6,compute_tag,18,17926,995
optimistic,0,6,vault_save,18,108027,6001
optimistic,0,6,mc_increment,18,105165,5842
optimistic,0,6,commit_now,18,231938,12885
optimistic,0,6,batch_latency,18,322508,17917
optimistic,0,6,fsync_hook,21,485,23
optimistic,0,6,close_hook,6,123120,20520
optimistic,0,6,exit_hook,1,10002,10002
optimistic,0,6,gate_hook,0,0,0
optimistic,0,7,compute_tag,18,7367,409
optimistic,0,7,vault_save,18,104529,5807
optimistic,0,7,mc_increment,18,142002,7889
optimistic,0,7,commit_now,18,254755,14153
optimistic,0,7,batch_latency,18,340844,18935
optimistic,0,7,fsync_hook,21,872,41
optimistic,0,7,close_hook,6,104183,17363
optimistic,0,7,exit_hook,1,12460,12460
optimistic,0,7,gate_hook,0,0,0
optimistic,0,8,compute_tag,18,13331,740
optimistic,0,8,vault_save,18,94205,5233
optimistic,0,8,mc_increment,18,99115,5506
optimistic,0,8,commit_now,18,207591,11532
optimistic,0,8,batch_latency,18,274353,15241
optimistic,0,8,fsync_hook,21,396,18
optimistic,0,8,close_hook,6,94112,15685
optimistic,0,8,exit_hook,1,11891,11891
optimistic,0,8,gate_hook,0,0,0
optimistic,0,9,compute_tag,18,25676,1426
optimistic,0,9,vault_save,18,101183,5621
optimistic,0,9,mc_increment,18,110449,6136
optimistic,0,9,commit_now,18,238227,13234
optimistic,0,9,batch_latency,18,316726,17595
optimistic,0,9,fsync_hook,21,752,35
optimistic,0,9,close_hook,6,108794,18132
optimistic,0,9,exit_hook,1,12693,12693
optimistic,0,9,gate_hook,0,0,0
checker,0,0,compute_tag,17,16309,959
checker,0,0,vault_save,17,92564,5444
checker,0,0,mc_increment,17,102096,6005
checker,0,0,commit_now,17,212071,12474
checker,0,0,batch_latency,17,267796,15752
checker,0,0,fsync_hook,21,777,37
checker,0,0,close_hook,6,85547,14257
checker,0,0,exit_hook,1,12767,12767
checker,0,0,gate_hook,0,0,0
checker,0,1,compute_tag,18,19976,1109
checker,0,1,vault_save,18,96220,5345
checker,0,1,mc_increment,18,104004,5778
checker,0,1,commit_now,18,220968,12276
checker,0,1,batch_latency,18,300335,16685
checker,0,1,fsync_hook,21,530,25
checker,0,1,close_hook,6,102615,17102
checker,0,1,exit_hook,1,11041,11041
checker,0,1,gate_hook,0,0,0
checker,0,2,compute_tag,18,13287,738
checker,0,2,vault_save,18,105611,5867
checker,0,2,mc_increment,18,105674,5870
checker,0,2,commit_now,18,225515,12528
checker,0,2,batch_latency,18,305700,16983
checker,0,2,fsync_hook,21,536,25
checker,0,2,close_hook,6,96298,16049
checker,0,2,exit_hook,1,10274,10274
checker,0,2,gate_hook,0,0,0
checker,0,3,compute_tag,18,18077,1004
checker,0,3,vault_save,18,93209,5178
checker,0,3,mc_increment,18,103273,5737
checker,0,3,commit_now,18,215231,11957
checker,0,3,batch_latency,18,285969,15887
checker,0,3,fsync_hook,21,347,16
checker,0,3,close_hook,6,99612,16602
checker,0,3,exit_hook,1,14253,14253
checker,0,3,gate_hook,0,0,0
checker,0,4,compute_tag,18,20365,1131
checker,0,4,vault_save,18,109999,6111
checker,0,4,mc_increment,18,111395,6188
checker,0,4,commit_now,18,242490,13471
checker,0,4,batch_latency,18,331088,18393
checker,0,4,fsync_hook,21,396,18
checker,0,4,close_hook,6,114748,19124
checker,0,4,exit_hook,1,15629,15629
checker,0,4,gate_hook,0,0,0
checker,0,5,compute_tag,17,21507,1265
checker,0,5,vault_save,17,91446,5379
checker,0,5,mc_increment,17,106802,6282
checker,0,5,commit_now,17,220415,12965
checker,0,5,batch_latency,17,281951,16585
checker,0,5,fsync_hook,21,397,18
checker,0,5,close_hook,6,94880,15813
checker,0,5,exit_hook,1,10953,10953
checker,0,5,gate_hook,0,0,0
checker,0,6,compute_tag,18,21529,1196
checker,0,6,vault_save,18,97143,5396
checker,0,6,mc_increment,18,110881,6160
checker,0,6,commit_now,18,230501,12805
checker,0,6,batch_latency,18,306656,17036
checker,0,6,fsync_hook,21,617,29
checker,0,6,close_hook,6,109459,18243
checker,0,6,exit_hook,1,12207,12207
checker,0,6,gate_hook,0,0,0
checker,0,7,compute_tag,18,18387,1021
checker,0,7,vault_save,18,109276,6070
checker,0,7,mc_increment,18,117935,6551
checker,0,7,commit_now,18,246281,13682
checker,0,7,batch_latency,18,328629,18257
checker,0,7,fsync_hook,21,390,18
checker,0,7,close_hook,6,134241,22373
checker,0,7,exit_hook,1,11307,11307
checker,0,7,gate_hook,0,0,0
checker,0,8,compute_tag,18,20295,1127
checker,0,8,vault_save,18,97554,5419
checker,0,8,mc_increment,18,112783,6265
checker,0,8,commit_now,18,231382,12854
checker,0,8,batch_latency,18,305950,16997
checker,0,8,fsync_hook,21,354,16
checker,0,8,close_hook,6,111765,18627
checker,0,8,exit_hook,1,11175,11175
checker,0,8,gate_hook,0,0,0
checker,0,9,compute_tag,18,18974,1054
checker,0,9,vault_save,18,100318,5573
checker,0,9,mc_increment,18,109637,6090
checker,0,9,commit_now,18,229862,12770
checker,0,9,batch_latency,18,313326,17407
checker,0,9,fsync_hook,21,584,27
checker,0,9,close_hook,6,102346,17057
checker,0,9,exit_hook,1,12607,12607
checker,0,9,gate_hook,0,0,0
checker,10,0,compute_tag,18,12101,672
checker,10,0,vault_save,18,99650,5536
checker,10,0,mc_increment,18,111761,6208
checker,10,0,commit_now,18,224774,12487
checker,10,0,batch_latency,18,287402,15966
checker,10,0,fsync_hook,21,36273,1727
checker,10,0,close_hook,6,117960,19660
checker,10,0,exit_hook,1,12008,12008
checker,10,0,gate_hook,0,0,0
checker,10,1,compute_tag,17,14439,849
checker,10,1,vault_save,17,91111,5359
checker,10,1,mc_increment,17,96774,5692
checker,10,1,commit_now,17,203108,11947
checker,10,1,batch_latency,17,256066,15062
checker,10,1,fsync_hook,21,564,26
checker,10,1,close_hook,6,92392,15398
checker,10,1,exit_hook,1,11170,11170
checker,10,1,gate_hook,0,0,0
checker,10,2,compute_tag,19,13637,717
checker,10,2,vault_save,19,93574,4924
checker,10,2,mc_increment,19,110387,5809
checker,10,2,commit_now,19,218652,11508
checker,10,2,batch_latency,19,275231,14485
checker,10,2,fsync_hook,21,48694,2318
checker,10,2,close_hook,6,94443,15740
checker,10,2,exit_hook,1,10896,10896
checker,10,2,gate_hook,0,0,0
checker,10,3,compute_tag,18,20373,1131
checker,10,3,vault_save,18,99773,5542
checker,10,3,mc_increment,18,115555,6419
checker,10,3,commit_now,18,236582,13143
checker,10,3,batch_latency,18,312853,17380
checker,10,3,fsync_hook,21,10549,502
checker,10,3,close_hook,6,104974,17495
checker,10,3,exit_hook,1,11884,11884
checker,10,3,gate_hook,0,0,0
checker,10,4,compute_tag,17,17129,1007
checker,10,4,vault_save,17,107844,6343
checker,10,4,mc_increment,17,125035,7355
checker,10,4,commit_now,17,250774,14751
checker,10,4,batch_latency,17,314505,18500
checker,10,4,fsync_hook,21,45894,2185
checker,10,4,close_hook,6,108247,18041
checker,10,4,exit_hook,1,16343,16343
checker,10,4,gate_hook,0,0,0
checker,10,5,compute_tag,18,19571,1087
checker,10,5,vault_save,18,93831,5212
