mode,checker_prob,iteration,n_ops,elapsed_us,ops_per_sec
disabled,0,0,200,679626,294.28
disabled,0,1,200,814583,245.52
disabled,0,2,200,587001,340.71
disabled,0,3,200,402681,496.67
disabled,0,4,200,705264,283.58
disabled,0,5,200,597094,334.96
disabled,0,6,200,543956,367.68
disabled,0,7,200,612867,326.34
disabled,0,8,200,484632,412.68
disabled,0,9,200,522502,382.77
synchronous,0,0,200,769642,259.86
synchronous,0,1,200,617332,323.97
synchronous,0,2,200,615634,324.87
synchronous,0,3,200,619673,322.75
synchronous,0,4,200,656193,304.79
synchronous,0,5,200,526287,380.02
synchronous,0,6,200,666004,300.3
synchronous,0,7,200,700803,285.39
synchronous,0,8,200,799231,250.24
synchronous,0,9,200,643612,310.75
optimistic,0,0,200,613297,326.11
optimistic,0,1,200,634655,315.13
optimistic,0,2,200,605490,330.31
optimistic,0,3,200,421031,475.02
optimistic,0,4,200,594729,336.29
optimistic,0,5,200,605852,330.11
optimistic,0,6,200,598339,334.26
optimistic,0,7,200,723338,276.5
optimistic,0,8,200,761745,262.56
optimistic,0,9,200,522797,382.56
checker,0,0,200,701843,284.96
checker,0,1,200,582030,343.62
checker,0,2,200,804739,248.53
checker,0,3,200,586616,340.94
checker,0,4,200,577171,346.52
checker,0,5,200,399709,500.36
checker,0,6,200,591797,337.95
checker,0,7,200,600464,333.08
checker,0,8,200,761255,262.72
checker,0,9,200,585099,341.82
checker,10,0,200,434673,460.12
checker,10,1,200,624837,320.08
checker,10,2,200,485267,412.14
checker,10,3,200,661828,302.19
checker,10,4,200,632135,316.39
checker,10,5,200,406542,491.95
checker,10,6,200,590268,338.83
checker,10,7,200,722997,276.63
checker,10,8,200,726310,275.36
checker,10,9,200,607346,329.3
checker,100,0,200,631889,316.51
checker,100,1,200,946256,211.36
checker,100,2,200,746656,267.86
checker,100,3,200,755405,264.76
checker,100,4,200,642209,311.43
checker,100,5,200,861407,232.18
checker,100,6,200,631137,316.89
checker,100,7,200,502822,397.76
checker,100,8,200,634295,315.31
checker,100,9,200,456102,438.5
