# modes=['disabled', 'synchronous', 'optimistic', 'checker'] n_ops=200 iter=10 prob_sweep=[0, 10, 100] gramine=gramine-sgx
OK mode=disabled prob=0 iter=0 -> 294.28 ops/s in 679.6 ms
OK mode=disabled prob=0 iter=1 -> 245.52 ops/s in 814.6 ms
OK mode=disabled prob=0 iter=2 -> 340.71 ops/s in 587.0 ms
OK mode=disabled prob=0 iter=3 -> 496.67 ops/s in 402.7 ms
OK mode=disabled prob=0 iter=4 -> 283.58 ops/s in 705.3 ms
OK mode=disabled prob=0 iter=5 -> 334.96 ops/s in 597.1 ms
OK mode=disabled prob=0 iter=6 -> 367.68 ops/s in 544.0 ms
OK mode=disabled prob=0 iter=7 -> 326.34 ops/s in 612.9 ms
OK mode=disabled prob=0 iter=8 -> 412.68 ops/s in 484.6 ms
OK mode=disabled prob=0 iter=9 -> 382.77 ops/s in 522.5 ms
OK mode=synchronous prob=0 iter=0 -> 259.86 ops/s in 769.6 ms
OK mode=synchronous prob=0 iter=1 -> 323.97 ops/s in 617.3 ms
OK mode=synchronous prob=0 iter=2 -> 324.87 ops/s in 615.6 ms
OK mode=synchronous prob=0 iter=3 -> 322.75 ops/s in 619.7 ms
OK mode=synchronous prob=0 iter=4 -> 304.79 ops/s in 656.2 ms
OK mode=synchronous prob=0 iter=5 -> 380.02 ops/s in 526.3 ms
OK mode=synchronous prob=0 iter=6 -> 300.30 ops/s in 666.0 ms
OK mode=synchronous prob=0 iter=7 -> 285.39 ops/s in 700.8 ms
OK mode=synchronous prob=0 iter=8 -> 250.24 ops/s in 799.2 ms
OK mode=synchronous prob=0 iter=9 -> 310.75 ops/s in 643.6 ms
OK mode=optimistic prob=0 iter=0 -> 326.11 ops/s in 613.3 ms
OK mode=optimistic prob=0 iter=1 -> 315.13 ops/s in 634.7 ms
OK mode=optimistic prob=0 iter=2 -> 330.31 ops/s in 605.5 ms
OK mode=optimistic prob=0 iter=3 -> 475.02 ops/s in 421.0 ms
OK mode=optimistic prob=0 iter=4 -> 336.29 ops/s in 594.7 ms
OK mode=optimistic prob=0 iter=5 -> 330.11 ops/s in 605.9 ms
OK mode=optimistic prob=0 iter=6 -> 334.26 ops/s in 598.3 ms
OK mode=optimistic prob=0 iter=7 -> 276.50 ops/s in 723.3 ms
OK mode=optimistic prob=0 iter=8 -> 262.56 ops/s in 761.7 ms
OK mode=optimistic prob=0 iter=9 -> 382.56 ops/s in 522.8 ms
OK mode=checker prob=0 iter=0 -> 284.96 ops/s in 701.8 ms
OK mode=checker prob=0 iter=1 -> 343.62 ops/s in 582.0 ms
OK mode=checker prob=0 iter=2 -> 248.53 ops/s in 804.7 ms
OK mode=checker prob=0 iter=3 -> 340.94 ops/s in 586.6 ms
OK mode=checker prob=0 iter=4 -> 346.52 ops/s in 577.2 ms
OK mode=checker prob=0 iter=5 -> 500.36 ops/s in 399.7 ms
OK mode=checker prob=0 iter=6 -> 337.95 ops/s in 591.8 ms
OK mode=checker prob=0 iter=7 -> 333.08 ops/s in 600.5 ms
OK mode=checker prob=0 iter=8 -> 262.72 ops/s in 761.3 ms
OK mode=checker prob=0 iter=9 -> 341.82 ops/s in 585.1 ms
OK mode=checker prob=10 iter=0 -> 460.12 ops/s in 434.7 ms
OK mode=checker prob=10 iter=1 -> 320.08 ops/s in 624.8 ms
OK mode=checker prob=10 iter=2 -> 412.14 ops/s in 485.3 ms
OK mode=checker prob=10 iter=3 -> 302.19 ops/s in 661.8 ms
OK mode=checker prob=10 iter=4 -> 316.39 ops/s in 632.1 ms
OK mode=checker prob=10 iter=5 -> 491.95 ops/s in 406.5 ms
OK mode=checker prob=10 iter=6 -> 338.83 ops/s in 590.3 ms
OK mode=checker prob=10 iter=7 -> 276.63 ops/s in 723.0 ms
OK mode=checker prob=10 iter=8 -> 275.36 ops/s in 726.3 ms
OK mode=checker prob=10 iter=9 -> 329.30 ops/s in 607.3 ms
OK mode=checker prob=100 iter=0 -> 316.51 ops/s in 631.9 ms
OK mode=checker prob=100 iter=1 -> 211.36 ops/s in 946.3 ms
OK mode=checker prob=100 iter=2 -> 267.86 ops/s in 746.7 ms
OK mode=checker prob=100 iter=3 -> 264.76 ops/s in 755.4 ms
OK mode=checker prob=100 iter=4 -> 311.43 ops/s in 642.2 ms
OK mode=checker prob=100 iter=5 -> 232.18 ops/s in 861.4 ms
OK mode=checker prob=100 iter=6 -> 316.89 ops/s in 631.1 ms
OK mode=checker prob=100 iter=7 -> 397.76 ops/s in 502.8 ms
OK mode=checker prob=100 iter=8 -> 315.31 ops/s in 634.3 ms
OK mode=checker prob=100 iter=9 -> 438.50 ops/s in 456.1 ms
wrote 60 rows to /home/azureuser/gramine/docs/benchmarking/spire_results.csv
wrote 450 rows to /home/azureuser/gramine/docs/benchmarking/spire_profile.csv
