mode,checker_prob,iteration,slot,count,total_us,avg_us
synchronous,0,0,compute_tag,3008,53418,17
synchronous,0,0,vault_save,3008,35703589,11869
synchronous,0,0,mc_increment,3008,34331558,11413
synchronous,0,0,commit_now,3008,70246191,23353
synchronous,0,0,batch_latency,0,0,0
synchronous,0,0,fsync_hook,2004,46746119,23326
synchronous,0,0,close_hook,1003,23529093,23458
synchronous,0,0,exit_hook,1,34848,34848
synchronous,0,0,gate_hook,0,0,0
synchronous,0,1,compute_tag,3008,55789,18
synchronous,0,1,vault_save,3008,35639199,11848
synchronous,0,1,mc_increment,3008,34160472,11356
synchronous,0,1,commit_now,3008,70015817,23276
synchronous,0,1,batch_latency,0,0,0
synchronous,0,1,fsync_hook,2004,46558997,23233
synchronous,0,1,close_hook,1003,23511758,23441
synchronous,0,1,exit_hook,1,10093,10093
synchronous,0,1,gate_hook,0,0,0
synchronous,0,2,compute_tag,3008,54034,17
synchronous,0,2,vault_save,3008,35413960,11773
synchronous,0,2,mc_increment,3008,34529179,11479
synchronous,0,2,commit_now,3008,70152019,23321
synchronous,0,2,batch_latency,0,0,0
synchronous,0,2,fsync_hook,2004,46690113,23298
synchronous,0,2,close_hook,1003,23503688,23433
synchronous,0,2,exit_hook,1,22143,22143
synchronous,0,2,gate_hook,0,0,0
synchronous,0,3,compute_tag,3008,53711,17
synchronous,0,3,vault_save,3008,35737048,11880
synchronous,0,3,mc_increment,3008,33989889,11299
synchronous,0,3,commit_now,3008,69937212,23250
synchronous,0,3,batch_latency,0,0,0
synchronous,0,3,fsync_hook,2004,46730542,23318
synchronous,0,3,close_hook,1003,23260507,23190
synchronous,0,3,exit_hook,1,10177,10177
synchronous,0,3,gate_hook,0,0,0
synchronous,0,4,compute_tag,3008,55512,18
synchronous,0,4,vault_save,3008,35873577,11926
synchronous,0,4,mc_increment,3008,34105818,11338
synchronous,0,4,commit_now,3008,70196308,23336
synchronous,0,4,batch_latency,0,0,0
synchronous,0,4,fsync_hook,2004,46596876,23251
synchronous,0,4,close_hook,1003,23655746,23584
synchronous,0,4,exit_hook,1,10879,10879
synchronous,0,4,gate_hook,0,0,0
synchronous,0,5,compute_tag,3008,54561,18
synchronous,0,5,vault_save,3008,35627618,11844
synchronous,0,5,mc_increment,3008,34074293,11327
synchronous,0,5,commit_now,3008,69914593,23242
synchronous,0,5,batch_latency,0,0,0
synchronous,0,5,fsync_hook,2004,46339614,23123
synchronous,0,5,close_hook,1003,23628006,23557
synchronous,0,5,exit_hook,1,11275,11275
synchronous,0,5,gate_hook,0,0,0
synchronous,0,6,compute_tag,3008,52406,17
synchronous,0,6,vault_save,3008,35519765,11808
synchronous,0,6,mc_increment,3008,34468921,11459
synchronous,0,6,commit_now,3008,70194148,23335
synchronous,0,6,batch_latency,0,0,0
synchronous,0,6,fsync_hook,2004,46538762,23222
synchronous,0,6,close_hook,1003,23706675,23635
synchronous,0,6,exit_hook,1,11365,11365
synchronous,0,6,gate_hook,0,0,0
synchronous,0,7,compute_tag,3008,54500,18
synchronous,0,7,vault_save,3008,35888032,11930
synchronous,0,7,mc_increment,3008,34196394,11368
synchronous,0,7,commit_now,3008,70296417,23369
synchronous,0,7,batch_latency,0,0,0
synchronous,0,7,fsync_hook,2004,46884125,23395
synchronous,0,7,close_hook,1003,23442216,23372
synchronous,0,7,exit_hook,1,33510,33510
synchronous,0,7,gate_hook,0,0,0
synchronous,0,8,compute_tag,3008,51412,17
synchronous,0,8,vault_save,3008,35434794,11780
synchronous,0,8,mc_increment,3008,34462805,11457
synchronous,0,8,commit_now,3008,70098480,23304
synchronous,0,8,batch_latency,0,0,0
synchronous,0,8,fsync_hook,2004,46447473,23177
synchronous,0,8,close_hook,1003,23701507,23630
synchronous,0,8,exit_hook,1,11447,11447
synchronous,0,8,gate_hook,0,0,0
synchronous,0,9,compute_tag,3008,55121,18
synchronous,0,9,vault_save,3008,35693144,11866
synchronous,0,9,mc_increment,3008,34327346,11412
synchronous,0,9,commit_now,3008,70237188,23350
synchronous,0,9,batch_latency,0,0,0
synchronous,0,9,fsync_hook,2004,46549920,23228
synchronous,0,9,close_hook,1003,23740848,23669
synchronous,0,9,exit_hook,1,12080,12080
synchronous,0,9,gate_hook,0,0,0
optimistic,0,0,compute_tag,1982,6126445,3091
optimistic,0,0,vault_save,1982,23980897,12099
optimistic,0,0,mc_increment,1982,22151548,11176
optimistic,0,0,commit_now,1982,52401419,26438
optimistic,0,0,batch_latency,1982,74268965,37471
optimistic,0,0,fsync_hook,3008,75302,25
optimistic,0,0,close_hook,1003,45383669,45247
optimistic,0,0,exit_hook,1,34238,34238
optimistic,0,0,gate_hook,0,0,0
optimistic,0,1,compute_tag,1956,6487615,3316
optimistic,0,1,vault_save,1956,24081268,12311
optimistic,0,1,mc_increment,1956,20872820,10671
optimistic,0,1,commit_now,1956,51585750,26373
optimistic,0,1,batch_latency,1956,72157570,36890
optimistic,0,1,fsync_hook,3008,75280,25
optimistic,0,1,close_hook,1003,44013333,43881
optimistic,0,1,exit_hook,1,11775,11775
optimistic,0,1,gate_hook,0,0,0
optimistic,0,2,compute_tag,1975,6297177,3188
optimistic,0,2,vault_save,1975,23896104,12099
optimistic,0,2,mc_increment,1975,22003600,11141
optimistic,0,2,commit_now,1975,52342387,26502
optimistic,0,2,batch_latency,1975,73851280,37393
optimistic,0,2,fsync_hook,3008,75306,25
optimistic,0,2,close_hook,1003,45045441,44910
optimistic,0,2,exit_hook,1,36086,36086
optimistic,0,2,gate_hook,0,0,0
optimistic,0,3,compute_tag,1958,6215664,3174
optimistic,0,3,vault_save,1958,23927105,12220
optimistic,0,3,mc_increment,1958,21374942,10916
optimistic,0,3,commit_now,1958,51665581,26386
optimistic,0,3,batch_latency,1958,72139535,36843
optimistic,0,3,fsync_hook,3008,75980,25
optimistic,0,3,close_hook,1003,44264249,44131
optimistic,0,3,exit_hook,1,33890,33890
optimistic,0,3,gate_hook,0,0,0
optimistic,0,4,compute_tag,1964,6065714,3088
optimistic,0,4,vault_save,1964,23822070,12129
optimistic,0,4,mc_increment,1964,21231597,10810
optimistic,0,4,commit_now,1964,51255830,26097
optimistic,0,4,batch_latency,1964,71783892,36549
optimistic,0,4,fsync_hook,3008,71429,23
optimistic,0,4,close_hook,1003,43944289,43812
optimistic,0,4,exit_hook,1,10776,10776
optimistic,0,4,gate_hook,0,0,0
optimistic,0,5,compute_tag,1945,6510473,3347
optimistic,0,5,vault_save,1945,23643070,12155
optimistic,0,5,mc_increment,1945,20973266,10783
optimistic,0,5,commit_now,1945,51270180,26359
optimistic,0,5,batch_latency,1945,71248454,36631
optimistic,0,5,fsync_hook,3008,74451,24
optimistic,0,5,close_hook,1003,43638241,43507
optimistic,0,5,exit_hook,1,10037,10037
optimistic,0,5,gate_hook,0,0,0
optimistic,0,6,compute_tag,1959,6659851,3399
optimistic,0,6,vault_save,1959,23453109,11971
optimistic,0,6,mc_increment,1959,21630835,11041
optimistic,0,6,commit_now,1959,51892963,26489
optimistic,0,6,batch_latency,1959,72352852,36933
optimistic,0,6,fsync_hook,3008,75921,25
optimistic,0,6,close_hook,1003,44418048,44285
optimistic,0,6,exit_hook,1,11890,11890
optimistic,0,6,gate_hook,0,0,0
optimistic,0,7,compute_tag,1965,6158503,3134
optimistic,0,7,vault_save,1965,23790792,12107
optimistic,0,7,mc_increment,1965,21729679,11058
optimistic,0,7,commit_now,1965,51826977,26375
optimistic,0,7,batch_latency,1965,72843091,37070
optimistic,0,7,fsync_hook,3008,75330,25
optimistic,0,7,close_hook,1003,44411203,44278
optimistic,0,7,exit_hook,1,12483,12483
optimistic,0,7,gate_hook,0,0,0
optimistic,0,8,compute_tag,1980,5697038,2877
optimistic,0,8,vault_save,1980,24022140,12132
optimistic,0,8,mc_increment,1980,22194650,11209
optimistic,0,8,commit_now,1980,52046746,26286
optimistic,0,8,batch_latency,1980,73233021,36986
optimistic,0,8,fsync_hook,3008,69378,23
optimistic,0,8,close_hook,1003,44753381,44619
optimistic,0,8,exit_hook,1,10731,10731
optimistic,0,8,gate_hook,0,0,0
optimistic,0,9,compute_tag,1956,6210123,3174
optimistic,0,9,vault_save,1956,23722975,12128
optimistic,0,9,mc_increment,1956,21511401,10997
optimistic,0,9,commit_now,1956,51586542,26373
optimistic,0,9,batch_latency,1956,72153871,36888
optimistic,0,9,fsync_hook,3008,75220,25
optimistic,0,9,close_hook,1003,43918616,43787
optimistic,0,9,exit_hook,1,38183,38183
optimistic,0,9,gate_hook,0,0,0
checker,0,0,compute_tag,1956,6206986,3173
checker,0,0,vault_save,1956,23695713,12114
checker,0,0,mc_increment,1956,21536605,11010
checker,0,0,commit_now,1956,51582180,26371
checker,0,0,batch_latency,1956,72215712,36920
checker,0,0,fsync_hook,3008,76305,25
checker,0,0,close_hook,1003,43727739,43596
checker,0,0,exit_hook,1,35712,35712
checker,0,0,gate_hook,0,0,0
checker,0,1,compute_tag,1943,6437214,3313
checker,0,1,vault_save,1943,23712174,12203
checker,0,1,mc_increment,1943,21149914,10885
checker,0,1,commit_now,1943,51445011,26477
