mode,checker_prob,iteration,n_txn,elapsed_us,txn_per_sec
disabled,0,0,500,16309613,30.66
disabled,0,1,500,15180437,32.94
disabled,0,2,500,15144097,33.02
disabled,0,3,500,15045875,33.23
disabled,0,4,500,15087461,33.14
disabled,0,5,500,15101935,33.11
disabled,0,6,500,15073236,33.17
disabled,0,7,500,15110067,33.09
disabled,0,8,500,15126125,33.06
disabled,0,9,500,15050113,33.22
synchronous,0,0,500,89432058,5.59
synchronous,0,1,500,89176672,5.61
synchronous,0,2,500,89262705,5.6
synchronous,0,3,500,89138862,5.61
synchronous,0,4,500,89237111,5.6
synchronous,0,5,500,89185066,5.61
synchronous,0,6,500,89173951,5.61
synchronous,0,7,500,89505836,5.59
synchronous,0,8,500,89168153,5.61
synchronous,0,9,500,89208882,5.6
optimistic,0,0,500,63934587,7.82
optimistic,0,1,500,63109623,7.92
optimistic,0,2,500,63638431,7.86
optimistic,0,3,500,63085967,7.93
optimistic,0,4,500,63116084,7.92
optimistic,0,5,500,62882750,7.95
optimistic,0,6,500,63152858,7.92
optimistic,0,7,500,63251287,7.9
optimistic,0,8,500,63528114,7.87
optimistic,0,9,500,63122405,7.92
checker,0,0,500,63149631,7.92
checker,0,1,500,62794050,7.96
checker,0,2,500,63080030,7.93
checker,0,3,500,63477058,7.88
checker,0,4,500,62900906,7.95
checker,0,5,500,62974791,7.94
checker,0,6,500,63243821,7.91
checker,0,7,500,63424386,7.88
checker,0,8,500,62802799,7.96
checker,0,9,500,62707166,7.97
checker,10,0,500,68330864,7.32
checker,10,1,500,67641943,7.39
checker,10,2,500,67588530,7.4
checker,10,3,500,68312280,7.32
checker,10,4,500,68541174,7.29
checker,10,5,500,67836577,7.37
checker,10,6,500,67884042,7.37
checker,10,7,500,68511727,7.3
checker,10,8,500,68020197,7.35
checker,10,9,500,67323042,7.43
checker,100,0,500,89334952,5.6
checker,100,1,500,89215917,5.6
checker,100,2,500,89201862,5.61
checker,100,3,500,89221645,5.6
checker,100,4,500,89499419,5.59
checker,100,5,500,89429725,5.59
checker,100,6,500,89182775,5.61
checker,100,7,500,89505949,5.59
checker,100,8,500,89336961,5.6
checker,100,9,500,89322435,5.6
