# modes=['disabled', 'synchronous', 'optimistic', 'checker'] n_txn=500 iter=10 prob_sweep=[0, 10, 100] gramine=gramine-sgx
OK mode=disabled prob=0 iter=0 -> 30.66 txn/s in 16309.6 ms
OK mode=disabled prob=0 iter=1 -> 32.94 txn/s in 15180.4 ms
OK mode=disabled prob=0 iter=2 -> 33.02 txn/s in 15144.1 ms
OK mode=disabled prob=0 iter=3 -> 33.23 txn/s in 15045.9 ms
OK mode=disabled prob=0 iter=4 -> 33.14 txn/s in 15087.5 ms
OK mode=disabled prob=0 iter=5 -> 33.11 txn/s in 15101.9 ms
OK mode=disabled prob=0 iter=6 -> 33.17 txn/s in 15073.2 ms
OK mode=disabled prob=0 iter=7 -> 33.09 txn/s in 15110.1 ms
OK mode=disabled prob=0 iter=8 -> 33.06 txn/s in 15126.1 ms
OK mode=disabled prob=0 iter=9 -> 33.22 txn/s in 15050.1 ms
OK mode=synchronous prob=0 iter=0 -> 5.59 txn/s in 89432.1 ms
OK mode=synchronous prob=0 iter=1 -> 5.61 txn/s in 89176.7 ms
OK mode=synchronous prob=0 iter=2 -> 5.60 txn/s in 89262.7 ms
OK mode=synchronous prob=0 iter=3 -> 5.61 txn/s in 89138.9 ms
OK mode=synchronous prob=0 iter=4 -> 5.60 txn/s in 89237.1 ms
OK mode=synchronous prob=0 iter=5 -> 5.61 txn/s in 89185.1 ms
OK mode=synchronous prob=0 iter=6 -> 5.61 txn/s in 89174.0 ms
OK mode=synchronous prob=0 iter=7 -> 5.59 txn/s in 89505.8 ms
OK mode=synchronous prob=0 iter=8 -> 5.61 txn/s in 89168.2 ms
OK mode=synchronous prob=0 iter=9 -> 5.60 txn/s in 89208.9 ms
OK mode=optimistic prob=0 iter=0 -> 7.82 txn/s in 63934.6 ms
OK mode=optimistic prob=0 iter=1 -> 7.92 txn/s in 63109.6 ms
OK mode=optimistic prob=0 iter=2 -> 7.86 txn/s in 63638.4 ms
OK mode=optimistic prob=0 iter=3 -> 7.93 txn/s in 63086.0 ms
OK mode=optimistic prob=0 iter=4 -> 7.92 txn/s in 63116.1 ms
OK mode=optimistic prob=0 iter=5 -> 7.95 txn/s in 62882.8 ms
OK mode=optimistic prob=0 iter=6 -> 7.92 txn/s in 63152.9 ms
OK mode=optimistic prob=0 iter=7 -> 7.90 txn/s in 63251.3 ms
OK mode=optimistic prob=0 iter=8 -> 7.87 txn/s in 63528.1 ms
OK mode=optimistic prob=0 iter=9 -> 7.92 txn/s in 63122.4 ms
OK mode=checker prob=0 iter=0 -> 7.92 txn/s in 63149.6 ms
OK mode=checker prob=0 iter=1 -> 7.96 txn/s in 62794.1 ms
OK mode=checker prob=0 iter=2 -> 7.93 txn/s in 63080.0 ms
OK mode=checker prob=0 iter=3 -> 7.88 txn/s in 63477.1 ms
OK mode=checker prob=0 iter=4 -> 7.95 txn/s in 62900.9 ms
OK mode=checker prob=0 iter=5 -> 7.94 txn/s in 62974.8 ms
OK mode=checker prob=0 iter=6 -> 7.91 txn/s in 63243.8 ms
OK mode=checker prob=0 iter=7 -> 7.88 txn/s in 63424.4 ms
OK mode=checker prob=0 iter=8 -> 7.96 txn/s in 62802.8 ms
OK mode=checker prob=0 iter=9 -> 7.97 txn/s in 62707.2 ms
OK mode=checker prob=10 iter=0 -> 7.32 txn/s in 68330.9 ms
OK mode=checker prob=10 iter=1 -> 7.39 txn/s in 67641.9 ms
OK mode=checker prob=10 iter=2 -> 7.40 txn/s in 67588.5 ms
OK mode=checker prob=10 iter=3 -> 7.32 txn/s in 68312.3 ms
OK mode=checker prob=10 iter=4 -> 7.29 txn/s in 68541.2 ms
OK mode=checker prob=10 iter=5 -> 7.37 txn/s in 67836.6 ms
OK mode=checker prob=10 iter=6 -> 7.37 txn/s in 67884.0 ms
OK mode=checker prob=10 iter=7 -> 7.30 txn/s in 68511.7 ms
OK mode=checker prob=10 iter=8 -> 7.35 txn/s in 68020.2 ms
OK mode=checker prob=10 iter=9 -> 7.43 txn/s in 67323.0 ms
OK mode=checker prob=100 iter=0 -> 5.60 txn/s in 89335.0 ms
OK mode=checker prob=100 iter=1 -> 5.60 txn/s in 89215.9 ms
OK mode=checker prob=100 iter=2 -> 5.61 txn/s in 89201.9 ms
OK mode=checker prob=100 iter=3 -> 5.60 txn/s in 89221.6 ms
OK mode=checker prob=100 iter=4 -> 5.59 txn/s in 89499.4 ms
OK mode=checker prob=100 iter=5 -> 5.59 txn/s in 89429.7 ms
OK mode=checker prob=100 iter=6 -> 5.61 txn/s in 89182.8 ms
OK mode=checker prob=100 iter=7 -> 5.59 txn/s in 89505.9 ms
OK mode=checker prob=100 iter=8 -> 5.60 txn/s in 89337.0 ms
OK mode=checker prob=100 iter=9 -> 5.60 txn/s in 89322.4 ms
wrote 60 rows to /home/azureuser/gramine/docs/benchmarking/sqlite_results.csv
wrote 450 rows to /home/azureuser/gramine/docs/benchmarking/sqlite_profile.csv
