mode,buffer_size,iteration,slot,count,total_us,avg_us
optimistic,512,0,compute_tag,11614,56163082,4835
optimistic,512,0,vault_save,11614,89220752,7682
optimistic,512,0,mc_increment,11614,100213048,8628
optimistic,512,0,commit_now,11614,245962461,21178
optimistic,512,0,batch_latency,11614,436616938,37594
optimistic,512,0,fsync_hook,32770,271862,8
optimistic,512,0,close_hook,1,17664,17664
optimistic,512,0,exit_hook,1,10054,10054
optimistic,512,1,compute_tag,12001,54412250,4533
optimistic,512,1,vault_save,12001,81549935,6795
optimistic,512,1,mc_increment,12001,102909239,8575
optimistic,512,1,commit_now,12001,239254096,19936
optimistic,512,1,batch_latency,12001,425411692,35448
optimistic,512,1,fsync_hook,32770,277783,8
optimistic,512,1,close_hook,1,21856,21856
optimistic,512,1,exit_hook,1,14833,14833
optimistic,512,2,compute_tag,12059,58763334,4872
optimistic,512,2,vault_save,12059,82851250,6870
optimistic,512,2,mc_increment,12059,102673557,8514
optimistic,512,2,commit_now,12059,244669612,20289
optimistic,512,2,batch_latency,12059,431157004,35753
optimistic,512,2,fsync_hook,32770,276286,8
optimistic,512,2,close_hook,1,18662,18662
optimistic,512,2,exit_hook,1,10669,10669
optimistic,1024,0,compute_tag,6055,29796838,4921
optimistic,1024,0,vault_save,6055,40596754,6704
optimistic,1024,0,mc_increment,6055,50509616,8341
optimistic,1024,0,commit_now,6055,121093294,19998
optimistic,1024,0,batch_latency,6055,212533792,35100
optimistic,1024,0,fsync_hook,16386,139045,8
optimistic,1024,0,close_hook,1,13528,13528
optimistic,1024,0,exit_hook,1,10249,10249
optimistic,1024,1,compute_tag,6043,27351367,4526
optimistic,1024,1,vault_save,6043,39697842,6569
optimistic,1024,1,mc_increment,6043,48672908,8054
optimistic,1024,1,commit_now,6043,115911843,19181
optimistic,1024,1,batch_latency,6043,204594938,33856
optimistic,1024,1,fsync_hook,16386,137871,8
optimistic,1024,1,close_hook,1,10171,10171
optimistic,1024,1,exit_hook,1,9901,9901
optimistic,1024,2,compute_tag,6050,28176613,4657
optimistic,1024,2,vault_save,6050,38766174,6407
optimistic,1024,2,mc_increment,6050,47334828,7823
optimistic,1024,2,commit_now,6050,114467497,18920
optimistic,1024,2,batch_latency,6050,201062314,33233
optimistic,1024,2,fsync_hook,16386,138238,8
optimistic,1024,2,close_hook,1,10630,10630
optimistic,1024,2,exit_hook,1,10622,10622
optimistic,2048,0,compute_tag,3905,25309832,6481
optimistic,2048,0,vault_save,3905,25723610,6587
optimistic,2048,0,mc_increment,3905,38942953,9972
optimistic,2048,0,commit_now,3905,90100029,23072
optimistic,2048,0,batch_latency,3905,155836867,39907
optimistic,2048,0,fsync_hook,8194,74699,9
optimistic,2048,0,close_hook,1,11295,11295
optimistic,2048,0,exit_hook,1,12368,12368
optimistic,2048,1,compute_tag,3967,20141593,5077
optimistic,2048,1,vault_save,3967,19170059,4832
optimistic,2048,1,mc_increment,3967,33409524,8421
optimistic,2048,1,commit_now,3967,72846976,18363
optimistic,2048,1,batch_latency,3967,125636547,31670
optimistic,2048,1,fsync_hook,8194,75387,9
optimistic,2048,1,close_hook,1,15076,15076
optimistic,2048,1,exit_hook,1,10205,10205
optimistic,2048,2,compute_tag,3967,19595212,4939
optimistic,2048,2,vault_save,3967,18564410,4679
optimistic,2048,2,mc_increment,3967,32450126,8180
optimistic,2048,2,commit_now,3967,70734346,17830
optimistic,2048,2,batch_latency,3967,122050421,30766
optimistic,2048,2,fsync_hook,8194,75076,9
optimistic,2048,2,close_hook,1,11358,11358
optimistic,2048,2,exit_hook,1,10002,10002
optimistic,4096,0,compute_tag,2012,10243902,5091
optimistic,4096,0,vault_save,2012,9547451,4745
optimistic,4096,0,mc_increment,2012,16569069,8235
optimistic,4096,0,commit_now,2012,36422635,18102
optimistic,4096,0,batch_latency,2012,62644686,31135
optimistic,4096,0,fsync_hook,4098,37475,9
optimistic,4096,0,close_hook,1,20841,20841
optimistic,4096,0,exit_hook,1,10451,10451
optimistic,4096,1,compute_tag,2013,10410053,5171
optimistic,4096,1,vault_save,2013,9470301,4704
optimistic,4096,1,mc_increment,2013,16916535,8403
optimistic,4096,1,commit_now,2013,36858989,18310
optimistic,4096,1,batch_latency,2013,63314215,31452
optimistic,4096,1,fsync_hook,4098,37674,9
optimistic,4096,1,close_hook,1,21682,21682
optimistic,4096,1,exit_hook,1,12619,12619
optimistic,4096,2,compute_tag,2011,10040314,4992
optimistic,4096,2,vault_save,2011,9377886,4663
optimistic,4096,2,mc_increment,2011,16944239,8425
optimistic,4096,2,commit_now,2011,36424936,18112
optimistic,4096,2,batch_latency,2011,62834425,31245
optimistic,4096,2,fsync_hook,4098,37764,9
