mode,checker_prob,buffer_size,iteration,slot,count,total_us,avg_us
synchronous,0,1024,0,compute_tag,4098,55737,13
synchronous,0,1024,0,vault_save,4098,24542886,5988
synchronous,0,1024,0,mc_increment,4098,19258648,4699
synchronous,0,1024,0,commit_now,4098,44027278,10743
synchronous,0,1024,0,batch_latency,0,0,0
synchronous,0,1024,0,fsync_hook,4096,44056166,10755
synchronous,0,1024,0,close_hook,1,26373,26373
synchronous,0,1024,0,exit_hook,1,14000,14000
synchronous,0,4096,0,compute_tag,1026,16590,16
synchronous,0,4096,0,vault_save,1026,6223529,6065
synchronous,0,4096,0,mc_increment,1026,4931705,4806
synchronous,0,4096,0,commit_now,1026,11220973,10936
synchronous,0,4096,0,batch_latency,0,0,0
synchronous,0,4096,0,fsync_hook,1024,11219708,10956
synchronous,0,4096,0,close_hook,1,10910,10910
synchronous,0,4096,0,exit_hook,1,11568,11568
synchronous,0,16384,0,compute_tag,258,2884,11
synchronous,0,16384,0,vault_save,258,1541719,5975
synchronous,0,16384,0,mc_increment,258,1316995,5104
synchronous,0,16384,0,commit_now,258,2869665,11122
synchronous,0,16384,0,batch_latency,0,0,0
synchronous,0,16384,0,fsync_hook,256,2850624,11135
synchronous,0,16384,0,close_hook,1,11940,11940
synchronous,0,16384,0,exit_hook,1,12643,12643
optimistic,0,1024,0,compute_tag,1461,7469580,5112
optimistic,0,1024,0,vault_save,1461,10996609,7526
optimistic,0,1024,0,mc_increment,1461,13186594,9025
optimistic,0,1024,0,commit_now,1461,31705512,21701
optimistic,0,1024,0,batch_latency,1461,55929144,38281
optimistic,0,1024,0,fsync_hook,4098,40405,9
optimistic,0,1024,0,close_hook,1,26179,26179
optimistic,0,1024,0,exit_hook,1,32098,32098
optimistic,0,4096,0,compute_tag,449,2391544,5326
optimistic,0,4096,0,vault_save,449,3077088,6853
optimistic,0,4096,0,mc_increment,449,4698871,10465
optimistic,0,4096,0,commit_now,449,10190301,22695
optimistic,0,4096,0,batch_latency,449,17979631,40043
optimistic,0,4096,0,fsync_hook,1026,16557,16
optimistic,0,4096,0,close_hook,1,12652,12652
optimistic,0,4096,0,exit_hook,1,12560,12560
optimistic,0,16384,0,compute_tag,129,755322,5855
optimistic,0,16384,0,vault_save,129,712128,5520
optimistic,0,16384,0,mc_increment,129,1191077,9233
optimistic,0,16384,0,commit_now,129,2665900,20665
optimistic,0,16384,0,batch_latency,129,4563406,35375
optimistic,0,16384,0,fsync_hook,258,5129,19
optimistic,0,16384,0,close_hook,1,28307,28307
optimistic,0,16384,0,exit_hook,1,11284,11284
checker,0,1024,0,compute_tag,1440,7554345,5246
checker,0,1024,0,vault_save,1440,10822322,7515
checker,0,1024,0,mc_increment,1440,13115567,9108
checker,0,1024,0,commit_now,1440,31562796,21918
checker,0,1024,0,batch_latency,1440,55589043,38603
checker,0,1024,0,fsync_hook,4098,57283,13
checker,0,1024,0,close_hook,1,19850,19850
checker,0,1024,0,exit_hook,1,15398,15398
checker,0,4096,0,compute_tag,426,2630935,6175
checker,0,4096,0,vault_save,426,2794818,6560
checker,0,4096,0,mc_increment,426,3801098,8922
checker,0,4096,0,commit_now,426,9242575,21696
checker,0,4096,0,batch_latency,426,15833735,37168
checker,0,4096,0,fsync_hook,1026,10431,10
checker,0,4096,0,close_hook,1,25222,25222
checker,0,4096,0,exit_hook,1,18879,18879
checker,0,16384,0,compute_tag,128,786926,6147
checker,0,16384,0,vault_save,128,696102,5438
checker,0,16384,0,mc_increment,128,1205564,9418
checker,0,16384,0,commit_now,128,2692526,21035
checker,0,16384,0,batch_latency,128,4580699,35786
checker,0,16384,0,fsync_hook,258,2458,9
checker,0,16384,0,close_hook,1,12195,12195
checker,0,16384,0,exit_hook,1,11084,11084
checker,10,1024,0,compute_tag,1819,8271660,4547
checker,10,1024,0,vault_save,1819,13569629,7459
checker,10,1024,0,mc_increment,1819,14722659,8093
checker,10,1024,0,commit_now,1819,36639371,20142
checker,10,1024,0,batch_latency,1819,60095918,33037
checker,10,1024,0,fsync_hook,4098,7948095,1939
checker,10,1024,0,close_hook,1,11872,11872
checker,10,1024,0,exit_hook,1,12062,12062
checker,10,4096,0,compute_tag,550,2447429,4449
checker,10,4096,0,vault_save,550,3575843,6501
checker,10,4096,0,mc_increment,550,4680840,8510
checker,10,4096,0,commit_now,550,10734689,19517
checker,10,4096,0,batch_latency,550,17640720,32074
checker,10,4096,0,fsync_hook,1026,2283973,2226
checker,10,4096,0,close_hook,1,17590,17590
checker,10,4096,0,exit_hook,1,11005,11005
checker,10,16384,0,compute_tag,142,748860,5273
checker,10,16384,0,vault_save,142,804307,5664
checker,10,16384,0,mc_increment,142,1305334,9192
checker,10,16384,0,commit_now,142,2866522,20186
checker,10,16384,0,batch_latency,142,4723270,33262
checker,10,16384,0,fsync_hook,258,394982,1530
checker,10,16384,0,close_hook,1,15184,15184
checker,10,16384,0,exit_hook,1,11198,11198
checker,100,1024,0,compute_tag,4098,72328,17
checker,100,1024,0,vault_save,4098,25975394,6338
checker,100,1024,0,mc_increment,4098,20535581,5011
checker,100,1024,0,commit_now,4098,46872725,11437
checker,100,1024,0,batch_latency,4098,47089422,11490
checker,100,1024,0,fsync_hook,4098,47326071,11548
checker,100,1024,0,close_hook,1,9429,9429
checker,100,1024,0,exit_hook,1,12812,12812
checker,100,4096,0,compute_tag,1026,18470,18
checker,100,4096,0,vault_save,1026,6402358,6240
checker,100,4096,0,mc_increment,1026,5110575,4981
checker,100,4096,0,commit_now,1026,11603828,11309
checker,100,4096,0,batch_latency,1026,11656898,11361
checker,100,4096,0,fsync_hook,1026,11719169,11422
checker,100,4096,0,close_hook,1,13618,13618
checker,100,4096,0,exit_hook,1,12730,12730
checker,100,16384,0,compute_tag,258,5252,20
checker,100,16384,0,vault_save,258,1785290,6919
checker,100,16384,0,mc_increment,258,1347535,5223
checker,100,16384,0,commit_now,258,3158152,12240
checker,100,16384,0,batch_latency,258,3172816,12297
checker,100,16384,0,fsync_hook,258,3189276,12361
checker,100,16384,0,close_hook,1,12945,12945
checker,100,16384,0,exit_hook,1,11675,11675
