mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
optimistic,0,none,0,compute_tag,468,871001,1861
optimistic,0,none,0,vault_save,468,3346807,7151
optimistic,0,none,0,mc_increment,468,3259516,6964
optimistic,0,none,0,commit_now,468,7502014,16029
optimistic,0,none,0,batch_latency,468,11926533,25484
optimistic,0,none,0,fsync_hook,1003,16229,16
optimistic,0,none,0,close_hook,1,8861,8861
optimistic,0,none,0,exit_hook,1,25007,25007
optimistic,0,none,0,gate_hook,2006,21142,10
optimistic,0,none,1,compute_tag,467,759844,1627
optimistic,0,none,1,vault_save,467,3185569,6821
optimistic,0,none,1,mc_increment,467,3160812,6768
optimistic,0,none,1,commit_now,467,7132287,15272
optimistic,0,none,1,batch_latency,467,11437686,24491
optimistic,0,none,1,fsync_hook,1003,16483,16
optimistic,0,none,1,close_hook,1,7570,7570
optimistic,0,none,1,exit_hook,1,23042,23042
optimistic,0,none,1,gate_hook,2006,22482,11
optimistic,0,none,2,compute_tag,480,695842,1449
optimistic,0,none,2,vault_save,480,3357653,6995
optimistic,0,none,2,mc_increment,480,3478037,7245
optimistic,0,none,2,commit_now,480,7556322,15742
optimistic,0,none,2,batch_latency,480,12041628,25086
optimistic,0,none,2,fsync_hook,1003,16094,16
optimistic,0,none,2,close_hook,1,8095,8095
optimistic,0,none,2,exit_hook,1,30337,30337
optimistic,0,none,2,gate_hook,2006,20984,10
optimistic,0,block,0,compute_tag,1003,17226,17
optimistic,0,block,0,vault_save,1003,6020867,6002
optimistic,0,block,0,mc_increment,1003,4812114,4797
optimistic,0,block,0,commit_now,1003,10917685,10885
optimistic,0,block,0,batch_latency,1003,10979414,10946
optimistic,0,block,0,fsync_hook,1003,36631,36
optimistic,0,block,0,close_hook,1,16689,16689
optimistic,0,block,0,exit_hook,1,24209,24209
optimistic,0,block,0,gate_hook,2006,10933245,5450
optimistic,0,block,1,compute_tag,1003,17679,17
optimistic,0,block,1,vault_save,1003,5865098,5847
optimistic,0,block,1,mc_increment,1003,4802064,4787
optimistic,0,block,1,commit_now,1003,10749876,10717
optimistic,0,block,1,batch_latency,1003,10809417,10777
optimistic,0,block,1,fsync_hook,1003,37469,37
optimistic,0,block,1,close_hook,1,9836,9836
optimistic,0,block,1,exit_hook,1,22075,22075
optimistic,0,block,1,gate_hook,2006,10779405,5373
optimistic,0,block,2,compute_tag,1003,21466,21
optimistic,0,block,2,vault_save,1003,5735468,5718
optimistic,0,block,2,mc_increment,1003,4434843,4421
optimistic,0,block,2,commit_now,1003,10266692,10235
optimistic,0,block,2,batch_latency,1003,10331166,10300
optimistic,0,block,2,fsync_hook,1003,44121,43
optimistic,0,block,2,close_hook,1,9483,9483
optimistic,0,block,2,exit_hook,1,19428,19428
optimistic,0,block,2,gate_hook,2006,10293029,5131
