mode,checker_prob,iteration,slot,count,total_us,avg_us
synchronous,0,0,compute_tag,1003,18619,18
synchronous,0,0,vault_save,1003,5999086,5981
synchronous,0,0,mc_increment,1003,4417668,4404
synchronous,0,0,commit_now,1003,10491556,10460
synchronous,0,0,batch_latency,0,0,0
synchronous,0,0,fsync_hook,1001,10493007,10482
synchronous,0,0,close_hook,1,7857,7857
synchronous,0,0,exit_hook,1,14763,14763
optimistic,0,0,compute_tag,435,1113549,2559
optimistic,0,0,vault_save,435,3287434,7557
optimistic,0,0,mc_increment,435,3066584,7049
optimistic,0,0,commit_now,435,7491175,17221
optimistic,0,0,batch_latency,435,12363068,28420
optimistic,0,0,fsync_hook,1003,17174,17
optimistic,0,0,close_hook,1,10141,10141
optimistic,0,0,exit_hook,1,22193,22193
checker,0,0,compute_tag,437,972155,2224
checker,0,0,vault_save,437,3176778,7269
checker,0,0,mc_increment,437,2950194,6751
checker,0,0,commit_now,437,7118041,16288
checker,0,0,batch_latency,437,11770817,26935
checker,0,0,fsync_hook,1003,13072,13
checker,0,0,close_hook,1,7981,7981
checker,0,0,exit_hook,1,22000,22000
checker,10,0,compute_tag,536,785670,1465
checker,10,0,vault_save,536,3729942,6958
checker,10,0,mc_increment,536,3481762,6495
checker,10,0,commit_now,536,8017752,14958
checker,10,0,batch_latency,536,12257806,22869
checker,10,0,fsync_hook,1003,1583410,1578
checker,10,0,close_hook,1,7727,7727
checker,10,0,exit_hook,1,19696,19696
checker,100,0,compute_tag,1003,11868,11
checker,100,0,vault_save,1003,6064240,6046
checker,100,0,mc_increment,1003,4884444,4869
checker,100,0,commit_now,1003,11003422,10970
checker,100,0,batch_latency,1003,11038696,11005
checker,100,0,fsync_hook,1003,11067547,11034
checker,100,0,close_hook,1,9700,9700
checker,100,0,exit_hook,1,12006,12006
