mode,buffer_size,iteration,elapsed_us,throughput_kbps
optimistic,512,0,246084689,66.58
optimistic,512,1,239373490,68.45
optimistic,512,2,244797684,66.93
optimistic,1024,0,121150833,135.24
optimistic,1024,1,115970386,141.28
optimistic,1024,2,114524593,143.06
optimistic,2048,0,90127653,181.79
optimistic,2048,1,72875404,224.82
optimistic,2048,2,70765455,231.53
optimistic,4096,0,36422327,449.83
optimistic,4096,1,36852155,444.59
optimistic,4096,2,36431924,449.72
optimistic,8192,0,18539855,883.72
optimistic,8192,1,17969814,911.75
optimistic,8192,2,18189116,900.76
optimistic,16384,0,9422373,1738.84
optimistic,16384,1,9011531,1818.12
optimistic,16384,2,9472200,1729.69
optimistic,32768,0,4814061,3403.36
optimistic,32768,1,4830954,3391.46
optimistic,32768,2,5079114,3225.76
synchronous,512,0,492279147,33.28
synchronous,512,1,501780043,32.65
synchronous,512,2,501419043,32.68
synchronous,1024,0,263478817,62.18
synchronous,1024,1,259461562,63.15
synchronous,1024,2,246324910,66.51
synchronous,2048,0,122397243,133.86
synchronous,2048,1,128637182,127.37
synchronous,2048,2,135232329,121.15
synchronous,4096,0,65525462,250.04
synchronous,4096,1,63198405,259.25
synchronous,4096,2,62900126,260.48
synchronous,8192,0,31749127,516.05
synchronous,8192,1,30929042,529.73
synchronous,8192,2,31386011,522.02
synchronous,16384,0,16005740,1023.63
synchronous,16384,1,15829730,1035.01
synchronous,16384,2,15579727,1051.62
synchronous,32768,0,7789801,2103.26
synchronous,32768,1,7880388,2079.09
synchronous,32768,2,7935715,2064.59
checker,512,0,226168131,72.44
checker,512,1,227070693,72.15
checker,512,2,227836412,71.91
checker,1024,0,111948149,146.35
checker,1024,1,111398466,147.08
checker,1024,2,113475757,144.38
checker,2048,0,76822367,213.27
checker,2048,1,73197234,223.83
checker,2048,2,74928693,218.66
checker,4096,0,38730538,423.03
checker,4096,1,45608488,359.23
checker,4096,2,41610745,393.74
checker,8192,0,23966319,683.63
checker,8192,1,24706864,663.14
checker,8192,2,19040245,860.49
checker,16384,0,10071757,1626.73
checker,16384,1,9992548,1639.62
checker,16384,2,9545440,1716.42
checker,32768,0,5014413,3267.38
checker,32768,1,5318563,3080.53
checker,32768,2,5351135,3061.78
