mode,checker_prob,buffer_size,iteration,elapsed_us,throughput_kbps
disabled,0,1024,0,21629928,189.37
disabled,0,4096,0,5702309,718.31
disabled,0,16384,0,1426871,2870.62
synchronous,0,1024,0,68407225,59.88
synchronous,0,4096,0,17366744,235.85
synchronous,0,16384,0,4466202,917.11
optimistic,0,1024,0,31671084,129.33
optimistic,0,4096,0,10177059,402.47
optimistic,0,16384,0,2632835,1555.74
checker,0,1024,0,31561614,129.78
checker,0,4096,0,9211245,444.67
checker,0,16384,0,2675841,1530.73
checker,10,1024,0,39144261,104.64
checker,10,4096,0,11443026,357.95
checker,10,16384,0,2978839,1375.03
checker,100,1024,0,72799931,56.26
checker,100,4096,0,18219200,224.82
checker,100,16384,0,4853106,844.0
