# modes=['disabled', 'synchronous', 'optimistic', 'checker'] n_ops=200 iter=10 prob_sweep=[0, 10, 100] gramine=gramine-sgx
OK mode=disabled prob=0 iter=0 -> 311.08 ops/s in 642.9 ms
OK mode=disabled prob=0 iter=1 -> 375.56 ops/s in 532.5 ms
OK mode=disabled prob=0 iter=2 -> 364.65 ops/s in 548.5 ms
OK mode=disabled prob=0 iter=3 -> 303.13 ops/s in 659.8 ms
OK mode=disabled prob=0 iter=4 -> 351.74 ops/s in 568.6 ms
OK mode=disabled prob=0 iter=5 -> 327.04 ops/s in 611.6 ms
OK mode=disabled prob=0 iter=6 -> 291.43 ops/s in 686.3 ms
OK mode=disabled prob=0 iter=7 -> 385.17 ops/s in 519.2 ms
OK mode=disabled prob=0 iter=8 -> 341.28 ops/s in 586.0 ms
OK mode=disabled prob=0 iter=9 -> 265.84 ops/s in 752.3 ms
OK mode=synchronous prob=0 iter=0 -> 347.55 ops/s in 575.5 ms
OK mode=synchronous prob=0 iter=1 -> 323.01 ops/s in 619.2 ms
OK mode=synchronous prob=0 iter=2 -> 277.99 ops/s in 719.4 ms
OK mode=synchronous prob=0 iter=3 -> 427.19 ops/s in 468.2 ms
OK mode=synchronous prob=0 iter=4 -> 300.88 ops/s in 664.7 ms
OK mode=synchronous prob=0 iter=5 -> 286.50 ops/s in 698.1 ms
OK mode=synchronous prob=0 iter=6 -> 390.35 ops/s in 512.4 ms
OK mode=synchronous prob=0 iter=7 -> 336.05 ops/s in 595.2 ms
OK mode=synchronous prob=0 iter=8 -> 297.20 ops/s in 672.9 ms
OK mode=synchronous prob=0 iter=9 -> 285.66 ops/s in 700.1 ms
OK mode=optimistic prob=0 iter=0 -> 325.93 ops/s in 613.6 ms
OK mode=optimistic prob=0 iter=1 -> 439.78 ops/s in 454.8 ms
OK mode=optimistic prob=0 iter=2 -> 536.03 ops/s in 373.1 ms
OK mode=optimistic prob=0 iter=3 -> 373.22 ops/s in 535.9 ms
OK mode=optimistic prob=0 iter=4 -> 304.75 ops/s in 656.3 ms
OK mode=optimistic prob=0 iter=5 -> 317.66 ops/s in 629.6 ms
OK mode=optimistic prob=0 iter=6 -> 303.56 ops/s in 658.9 ms
OK mode=optimistic prob=0 iter=7 -> 321.33 ops/s in 622.4 ms
OK mode=optimistic prob=0 iter=8 -> 336.85 ops/s in 593.7 ms
OK mode=optimistic prob=0 iter=9 -> 327.17 ops/s in 611.3 ms
OK mode=checker prob=0 iter=0 -> 349.43 ops/s in 572.4 ms
OK mode=checker prob=0 iter=1 -> 369.37 ops/s in 541.5 ms
OK mode=checker prob=0 iter=2 -> 326.30 ops/s in 612.9 ms
OK mode=checker prob=0 iter=3 -> 535.37 ops/s in 373.6 ms
OK mode=checker prob=0 iter=4 -> 491.38 ops/s in 407.0 ms
OK mode=checker prob=0 iter=5 -> 263.24 ops/s in 759.8 ms
OK mode=checker prob=0 iter=6 -> 322.77 ops/s in 619.6 ms
OK mode=checker prob=0 iter=7 -> 416.51 ops/s in 480.2 ms
OK mode=checker prob=0 iter=8 -> 427.30 ops/s in 468.1 ms
OK mode=checker prob=0 iter=9 -> 316.41 ops/s in 632.1 ms
OK mode=checker prob=10 iter=0 -> 474.63 ops/s in 421.4 ms
OK mode=checker prob=10 iter=1 -> 498.54 ops/s in 401.2 ms
OK mode=checker prob=10 iter=2 -> 257.02 ops/s in 778.2 ms
OK mode=checker prob=10 iter=3 -> 339.14 ops/s in 589.7 ms
OK mode=checker prob=10 iter=4 -> 387.94 ops/s in 515.5 ms
OK mode=checker prob=10 iter=5 -> 460.49 ops/s in 434.3 ms
OK mode=checker prob=10 iter=6 -> 324.98 ops/s in 615.4 ms
OK mode=checker prob=10 iter=7 -> 343.04 ops/s in 583.0 ms
OK mode=checker prob=10 iter=8 -> 272.49 ops/s in 734.0 ms
OK mode=checker prob=10 iter=9 -> 268.36 ops/s in 745.3 ms
OK mode=checker prob=100 iter=0 -> 330.97 ops/s in 604.3 ms
OK mode=checker prob=100 iter=1 -> 275.08 ops/s in 727.1 ms
OK mode=checker prob=100 iter=2 -> 309.85 ops/s in 645.5 ms
OK mode=checker prob=100 iter=3 -> 210.48 ops/s in 950.2 ms
OK mode=checker prob=100 iter=4 -> 297.54 ops/s in 672.2 ms
OK mode=checker prob=100 iter=5 -> 290.39 ops/s in 688.7 ms
OK mode=checker prob=100 iter=6 -> 336.28 ops/s in 594.8 ms
OK mode=checker prob=100 iter=7 -> 339.60 ops/s in 588.9 ms
OK mode=checker prob=100 iter=8 -> 434.39 ops/s in 460.4 ms
OK mode=checker prob=100 iter=9 -> 324.30 ops/s in 616.7 ms
wrote 60 rows to microbench/spire_results.csv
wrote 400 rows to microbench/spire_profile.csv
