mode,checker_prob,iteration,slot,count,total_us,avg_us
synchronous,0,0,compute_tag,21,428,20
synchronous,0,0,vault_save,21,132394,6304
synchronous,0,0,mc_increment,21,103876,4946
synchronous,0,0,commit_now,21,237501,11309
synchronous,0,0,batch_latency,0,0,0
synchronous,0,0,fsync_hook,14,152969,10926
synchronous,0,0,close_hook,6,74149,12358
synchronous,0,0,exit_hook,1,12607,12607
synchronous,0,1,compute_tag,21,1058,50
synchronous,0,1,vault_save,21,126696,6033
synchronous,0,1,mc_increment,21,101510,4833
synchronous,0,1,commit_now,21,230236,10963
synchronous,0,1,batch_latency,0,0,0
synchronous,0,1,fsync_hook,14,132488,9463
synchronous,0,1,close_hook,6,82645,13774
synchronous,0,1,exit_hook,1,17316,17316
synchronous,0,2,compute_tag,21,475,22
synchronous,0,2,vault_save,21,104138,4958
synchronous,0,2,mc_increment,21,102625,4886
synchronous,0,2,commit_now,21,208054,9907
synchronous,0,2,batch_latency,0,0,0
synchronous,0,2,fsync_hook,14,137372,9812
synchronous,0,2,close_hook,6,59819,9969
synchronous,0,2,exit_hook,1,11648,11648
synchronous,0,3,compute_tag,21,772,36
synchronous,0,3,vault_save,21,128679,6127
synchronous,0,3,mc_increment,21,125796,5990
synchronous,0,3,commit_now,21,256188,12199
synchronous,0,3,batch_latency,0,0,0
synchronous,0,3,fsync_hook,14,167712,11979
synchronous,0,3,close_hook,6,77171,12861
synchronous,0,3,exit_hook,1,13716,13716
synchronous,0,4,compute_tag,21,381,18
synchronous,0,4,vault_save,21,106286,5061
synchronous,0,4,mc_increment,21,107736,5130
synchronous,0,4,commit_now,21,215186,10246
synchronous,0,4,batch_latency,0,0,0
synchronous,0,4,fsync_hook,14,141005,10071
synchronous,0,4,close_hook,6,62833,10472
synchronous,0,4,exit_hook,1,13806,13806
synchronous,0,5,compute_tag,21,463,22
synchronous,0,5,vault_save,21,118988,5666
synchronous,0,5,mc_increment,21,112686,5366
synchronous,0,5,commit_now,21,232888,11089
synchronous,0,5,batch_latency,0,0,0
synchronous,0,5,fsync_hook,14,151439,10817
synchronous,0,5,close_hook,6,70360,11726
synchronous,0,5,exit_hook,1,13030,13030
synchronous,0,6,compute_tag,21,811,38
synchronous,0,6,vault_save,21,122345,5825
synchronous,0,6,mc_increment,21,107774,5132
