mode,checker_prob,iteration,n_ops,elapsed_us,ops_per_sec
disabled,0,0,200,642928,311.08
disabled,0,1,200,532540,375.56
disabled,0,2,200,548469,364.65
disabled,0,3,200,659785,303.13
disabled,0,4,200,568594,351.74
disabled,0,5,200,611555,327.04
disabled,0,6,200,686277,291.43
disabled,0,7,200,519247,385.17
disabled,0,8,200,586033,341.28
disabled,0,9,200,752325,265.84
synchronous,0,0,200,575456,347.55
synchronous,0,1,200,619171,323.01
synchronous,0,2,200,719447,277.99
synchronous,0,3,200,468171,427.19
synchronous,0,4,200,664725,300.88
synchronous,0,5,200,698090,286.5
synchronous,0,6,200,512362,390.35
synchronous,0,7,200,595151,336.05
synchronous,0,8,200,672945,297.2
synchronous,0,9,200,700125,285.66
optimistic,0,0,200,613629,325.93
optimistic,0,1,200,454774,439.78
optimistic,0,2,200,373115,536.03
optimistic,0,3,200,535871,373.22
optimistic,0,4,200,656280,304.75
optimistic,0,5,200,629605,317.66
optimistic,0,6,200,658852,303.56
optimistic,0,7,200,622416,321.33
optimistic,0,8,200,593731,336.85
optimistic,0,9,200,611304,327.17
checker,0,0,200,572361,349.43
checker,0,1,200,541456,369.37
checker,0,2,200,612930,326.3
checker,0,3,200,373570,535.37
checker,0,4,200,407016,491.38
checker,0,5,200,759756,263.24
checker,0,6,200,619644,322.77
checker,0,7,200,480185,416.51
checker,0,8,200,468053,427.3
checker,0,9,200,632092,316.41
checker,10,0,200,421382,474.63
checker,10,1,200,401173,498.54
checker,10,2,200,778156,257.02
checker,10,3,200,589735,339.14
checker,10,4,200,515546,387.94
checker,10,5,200,434324,460.49
checker,10,6,200,615424,324.98
checker,10,7,200,583017,343.04
checker,10,8,200,733968,272.49
checker,10,9,200,745268,268.36
checker,100,0,200,604291,330.97
checker,100,1,200,727068,275.08
checker,100,2,200,645479,309.85
checker,100,3,200,950201,210.48
checker,100,4,200,672180,297.54
checker,100,5,200,688724,290.39
checker,100,6,200,594751,336.28
checker,100,7,200,588922,339.6
checker,100,8,200,460411,434.39
checker,100,9,200,616720,324.3
