mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
optimistic,0,none,0,compute_tag,12,15868,1322
optimistic,0,none,0,vault_save,12,70822,5901
optimistic,0,none,0,mc_increment,12,75043,6253
optimistic,0,none,0,commit_now,12,162197,13516
optimistic,0,none,0,batch_latency,12,215786,17982
optimistic,0,none,0,fsync_hook,16,252,15
optimistic,0,none,0,close_hook,3,52731,17577
optimistic,0,none,0,exit_hook,1,10368,10368
optimistic,0,none,0,gate_hook,400,1950,4
optimistic,0,none,1,compute_tag,13,16661,1281
optimistic,0,none,1,vault_save,13,79966,6151
optimistic,0,none,1,mc_increment,13,73269,5636
optimistic,0,none,1,commit_now,13,170380,13106
optimistic,0,none,1,batch_latency,13,224130,17240
optimistic,0,none,1,fsync_hook,16,258,16
optimistic,0,none,1,close_hook,3,56651,18883
optimistic,0,none,1,exit_hook,1,11769,11769
optimistic,0,none,1,gate_hook,400,1927,4
optimistic,0,none,2,compute_tag,13,15252,1173
optimistic,0,none,2,vault_save,13,68249,5249
optimistic,0,none,2,mc_increment,13,82027,6309
optimistic,0,none,2,commit_now,13,166035,12771
optimistic,0,none,2,batch_latency,13,234322,18024
optimistic,0,none,2,fsync_hook,16,335,20
optimistic,0,none,2,close_hook,3,59610,19870
optimistic,0,none,2,exit_hook,1,11857,11857
optimistic,0,none,2,gate_hook,400,1955,4
optimistic,0,none,3,compute_tag,13,15550,1196
optimistic,0,none,3,vault_save,13,69704,5361
optimistic,0,none,3,mc_increment,13,89963,6920
optimistic,0,none,3,commit_now,13,175840,13526
optimistic,0,none,3,batch_latency,13,236767,18212
optimistic,0,none,3,fsync_hook,16,361,22
optimistic,0,none,3,close_hook,3,79255,26418
optimistic,0,none,3,exit_hook,1,11199,11199
optimistic,0,none,3,gate_hook,400,1978,4
optimistic,0,none,4,compute_tag,12,27033,2252
optimistic,0,none,4,vault_save,12,70133,5844
optimistic,0,none,4,mc_increment,12,72249,6020
optimistic,0,none,4,commit_now,12,169968,14164
optimistic,0,none,4,batch_latency,12,222862,18571
optimistic,0,none,4,fsync_hook,16,339,21
optimistic,0,none,4,close_hook,3,54547,18182
optimistic,0,none,4,exit_hook,1,11068,11068
optimistic,0,none,4,gate_hook,400,1960,4
optimistic,0,none,5,compute_tag,13,17252,1327
optimistic,0,none,5,vault_save,13,70626,5432
optimistic,0,none,5,mc_increment,13,81750,6288
optimistic,0,none,5,commit_now,13,170156,13088
optimistic,0,none,5,batch_latency,13,230795,17753
optimistic,0,none,5,fsync_hook,16,306,19
optimistic,0,none,5,close_hook,3,70786,23595
optimistic,0,none,5,exit_hook,1,13849,13849
optimistic,0,none,5,gate_hook,400,1965,4
optimistic,0,none,6,compute_tag,12,15789,1315
optimistic,0,none,6,vault_save,12,73244,6103
