mode,checker_prob,gate_policy,iteration,n_ops,elapsed_us,ops_per_sec
optimistic,0,none,0,200,667799,299.49120888497595
optimistic,0,none,1,200,476258,419.9399971865859
optimistic,0,none,2,200,638433,313.26690773673596
optimistic,0,none,3,200,656058,304.8510615410725
optimistic,0,none,4,200,692598,288.7677553652072
optimistic,0,none,5,200,666635,300.01401966759084
optimistic,0,none,6,200,652712,306.4136927917641
optimistic,0,none,7,200,799074,250.2895068030966
optimistic,0,none,8,200,453108,441.39533537668217
optimistic,0,none,9,200,464231,430.81976676405804
optimistic,0,block,0,200,667179,299.76925729580415
optimistic,0,block,1,200,493483,405.2823968097678
optimistic,0,block,2,200,693282,288.48254666093965
optimistic,0,block,3,200,459995,434.7873050064814
optimistic,0,block,4,200,876709,228.12562207861006
optimistic,0,block,5,200,530326,377.1259225158608
optimistic,0,block,6,200,705394,283.52928491782876
optimistic,0,block,7,200,701204,285.22338499034026
optimistic,0,block,8,200,511815,390.76577646724525
optimistic,0,block,9,200,952724,209.92433712085665
