mode,checker_prob,iteration,slot,count,total_us,avg_us
synchronous,0,0,compute_tag,3008,50971,16
synchronous,0,0,vault_save,3008,18770790,6240
synchronous,0,0,mc_increment,3008,16912765,5622
synchronous,0,0,commit_now,3008,35890301,11931
synchronous,0,0,batch_latency,0,0,0
synchronous,0,0,fsync_hook,2004,23696428,11824
synchronous,0,0,close_hook,1003,12247555,12210
synchronous,0,0,exit_hook,1,10747,10747
optimistic,0,0,compute_tag,2005,3101988,1547
optimistic,0,0,vault_save,2005,12206803,6088
optimistic,0,0,mc_increment,2005,11050096,5511
optimistic,0,0,commit_now,2005,26500832,13217
optimistic,0,0,batch_latency,2005,37471794,18689
optimistic,0,0,fsync_hook,3008,77322,25
optimistic,0,0,close_hook,1003,22937733,22869
optimistic,0,0,exit_hook,1,12191,12191
checker,0,0,compute_tag,2005,3109809,1551
checker,0,0,vault_save,2005,12292595,6130
checker,0,0,mc_increment,2005,11054918,5513
checker,0,0,commit_now,2005,26596752,13265
checker,0,0,batch_latency,2005,37642237,18774
checker,0,0,fsync_hook,3008,72123,23
checker,0,0,close_hook,1003,23052812,22983
checker,0,0,exit_hook,1,16003,16003
checker,10,0,compute_tag,2194,2805725,1278
checker,10,0,vault_save,2194,13276710,6051
checker,10,0,mc_increment,2194,12055595,5494
checker,10,0,commit_now,2194,28297248,12897
checker,10,0,batch_latency,2194,38945861,17751
checker,10,0,fsync_hook,3008,5566475,1850
checker,10,0,close_hook,1003,21877599,21812
checker,10,0,exit_hook,1,11749,11749
checker,100,0,compute_tag,3008,48353,16
checker,100,0,vault_save,3008,18788608,6246
checker,100,0,mc_increment,3008,17201035,5718
checker,100,0,commit_now,3008,36233174,12045
checker,100,0,batch_latency,3008,36373644,12092
checker,100,0,fsync_hook,3008,36514607,12139
checker,100,0,close_hook,1003,12550620,12513
checker,100,0,exit_hook,1,13640,13640
