mode,buffer_size,iteration,slot,count,total_us,avg_us
optimistic,512,0,compute_tag,2918,12874851,4412
optimistic,512,0,vault_save,2918,19576487,6708
optimistic,512,0,mc_increment,2918,21358660,7319
optimistic,512,0,commit_now,2918,53902025,18472
optimistic,512,0,batch_latency,2918,94961881,32543
optimistic,512,0,fsync_hook,8194,68497,8
optimistic,512,0,close_hook,1,20426,20426
optimistic,512,0,exit_hook,1,10303,10303
optimistic,1024,0,compute_tag,1484,6401826,4313
optimistic,1024,0,vault_save,1484,10198583,6872
optimistic,1024,0,mc_increment,1484,11753064,7919
optimistic,1024,0,commit_now,1484,28399906,19137
optimistic,1024,0,batch_latency,1484,50408073,33967
optimistic,1024,0,fsync_hook,4098,34465,8
optimistic,1024,0,close_hook,1,15598,15598
optimistic,1024,0,exit_hook,1,10360,10360
optimistic,2048,0,compute_tag,921,4259544,4624
optimistic,2048,0,vault_save,921,4486743,4871
optimistic,2048,0,mc_increment,921,7300221,7926
optimistic,2048,0,commit_now,921,16075639,17454
optimistic,2048,0,batch_latency,921,27877054,30268
optimistic,2048,0,fsync_hook,2050,18400,8
optimistic,2048,0,close_hook,1,22707,22707
optimistic,2048,0,exit_hook,1,19798,19798
optimistic,4096,0,compute_tag,478,2338500,4892
optimistic,4096,0,vault_save,478,2212844,4629
optimistic,4096,0,mc_increment,478,3796554,7942
optimistic,4096,0,commit_now,478,8362715,17495
optimistic,4096,0,batch_latency,478,14377785,30079
optimistic,4096,0,fsync_hook,1026,9231,8
optimistic,4096,0,close_hook,1,23189,23189
optimistic,4096,0,exit_hook,1,10120,10120
optimistic,8192,0,compute_tag,252,1283347,5092
optimistic,8192,0,vault_save,252,1178925,4678
optimistic,8192,0,mc_increment,252,2018797,8011
optimistic,8192,0,commit_now,252,4488942,17813
optimistic,8192,0,batch_latency,252,7679897,30475
optimistic,8192,0,fsync_hook,514,4781,9
optimistic,8192,0,close_hook,1,11522,11522
optimistic,8192,0,exit_hook,1,11379,11379
optimistic,16384,0,compute_tag,130,721003,5546
optimistic,16384,0,vault_save,130,616935,4745
optimistic,16384,0,mc_increment,130,1067550,8211
optimistic,16384,0,commit_now,130,2409483,18534
optimistic,16384,0,batch_latency,130,4081353,31395
optimistic,16384,0,fsync_hook,258,2413,9
optimistic,16384,0,close_hook,1,18707,18707
