mode,buffer_size,iteration,elapsed_us,throughput_kbps
optimistic,512,0,53913444,75.97
optimistic,1024,0,28397150,144.24
optimistic,2048,0,16048317,255.23
optimistic,4096,0,8342583,490.98
optimistic,8192,0,4473023,915.71
optimistic,16384,0,2386940,1716.0
optimistic,32768,0,1170541,3499.24
synchronous,512,0,120388511,34.02
synchronous,1024,0,60577743,67.62
synchronous,2048,0,30555985,134.05
synchronous,4096,0,14558780,281.34
synchronous,8192,0,7825661,523.41
synchronous,16384,0,3676485,1114.11
synchronous,32768,0,1904499,2150.7
checker,512,0,58750401,69.72
checker,1024,0,28125834,145.63
checker,2048,0,16688000,245.45
checker,4096,0,8690738,471.31
checker,8192,0,4662050,878.58
checker,16384,0,2309825,1773.29
checker,32768,0,1171316,3496.92
